Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Senegal ,1970,4367744,274,251114617.0,9270306.0,205303762.0,1094146269.0,170288385.0,74328311.0,145712851.0,923857884.0,201458574.0,210670378.0,229307400.0,366145006.0,1124246487.0,69760659.0,198648499.0,1198180478.0,1231806812.0
 Senegal ,1971,4498616,279,225902802.0,9503534.0,208293331.0,1156561717.0,185778837.0,79558515.0,152117401.0,970782880.0,222206999.0,224447165.0,244327160.0,396623965.0,1167166074.0,76464989.0,214343624.0,1255710258.0,1273053371.0
 Senegal ,1972,4633452,323,321143301.0,11140335.0,289294718.0,1335227987.0,213438023.0,100545047.0,199757312.0,1121789963.0,273340754.0,260574641.0,283589991.0,462976535.0,1411287719.0,89259034.0,243178523.0,1496277014.0,1539434982.0
 Senegal ,1973,4772039,362,338882213.0,12107525.0,308789756.0,1617347222.0,259086567.0,128603454.0,238520528.0,1358260656.0,354168740.0,298916317.0,325369650.0,549069857.0,1624242928.0,106894107.0,291919575.0,1728850821.0,1769952219.0
 Senegal ,1974,4911421,393,402602201.0,15175027.0,522048047.0,1680590045.0,273870510.0,170024421.0,288911491.0,1406719536.0,505953405.0,405317787.0,441349251.0,567546719.0,1833735667.0,112333583.0,294728887.0,1928589338.0,1995962138.0
 Senegal ,1975,5047922,512,688077212.0,22894616.0,599717269.0,2359328754.0,380189343.0,183842477.0,354558324.0,1979139410.0,582294848.0,511066266.0,555826804.0,682440311.0,2428930270.0,147884282.0,331807046.0,2586448168.0,2689049487.0
 Senegal ,1976,5181195,512,697539257.0,19735464.0,606253643.0,2497977568.0,395613406.0,172640954.0,344968950.0,2102364161.0,625110491.0,484256267.0,527361880.0,673074456.0,2425493125.0,130781246.0,377000821.0,2650999531.0,2725724271.0
 Senegal ,1977,5308297,518,647640129.0,23522084.0,740332259.0,2549592417.0,418049767.0,187653640.0,339891813.0,2131542649.0,751923094.0,514164289.0,560488793.0,746556994.0,2505666861.0,129003377.0,398455484.0,2748265137.0,2791325300.0
 Senegal ,1978,5433225,560,556637152.0,33219666.0,577273619.0,2990181299.0,532269448.0,208169227.0,399799480.0,2457911851.0,707455654.0,569242205.0,616864487.0,997986194.0,2834421176.0,151254532.0,478459145.0,3040019278.0,3108770792.0
 Senegal ,1979,5564474,692,788062857.0,41134150.0,819902831.0,3712403438.0,687972495.0,277698466.0,521300251.0,3024430943.0,982579537.0,702237219.0,767777689.0,1218379575.0,3539620094.0,190666195.0,533599628.0,3852819224.0,3879092047.0
 Senegal ,1980,5703869,731,682302643.0,48418904.0,802264833.0,4239141490.0,876604836.0,317291951.0,635678926.0,3362536654.0,1133090019.0,776803071.0,849323530.0,1452035217.0,3838364669.0,230563662.0,575720713.0,4166790095.0,4210305850.0
 Senegal ,1981,5852029,589,535411042.0,42856230.0,766537171.0,3655706764.0,731563173.0,279156145.0,505629076.0,2924143591.0,1139824067.0,700734883.0,746138664.0,1159007384.0,3184640326.0,174904541.0,526322465.0,3445588308.0,3492956518.0
 Senegal ,1982,6008392,570,678847587.0,49731687.0,850915016.0,3576846530.0,679244252.0,276431036.0,508170982.0,2897602278.0,1073075879.0,659454305.0,704068002.0,1144099951.0,3291427374.0,182764635.0,531915511.0,3423432589.0,3639117600.0
 Senegal ,1983,6171874,525,645108030.0,50820807.0,785806546.0,3412093441.0,645635968.0,279183489.0,521844915.0,2766457473.0,1001094527.0,644750523.0,690573289.0,1072305998.0,3151943951.0,172975457.0,520160371.0,3242430343.0,3492691404.0
 Senegal ,1984,6341801,483,478661101.0,45056594.0,853369509.0,3134814590.0,624218926.0,259097411.0,465887653.0,2510595663.0,990024378.0,693292741.0,743103333.0,1102925455.0,3043379961.0,178678776.0,494954701.0,3062923859.0,3292922468.0
 Senegal ,1985,6520705,514,584900474.0,47259446.0,736796294.0,3582422372.0,625449573.0,239547896.0,481355862.0,2956972799.0,943014810.0,811021710.0,868260362.0,1135038372.0,3375986373.0,191443374.0,549084345.0,3352716913.0,3632030494.0
 Senegal ,1986,6710885,727,1015683696.0,66325972.0,960571534.0,4865878719.0,837678029.0,390168393.0,727758093.0,4028200690.0,1073968035.0,1159268680.0,1247757442.0,1693967732.0,5044722501.0,264631502.0,756356156.0,4881857501.0,5302138188.0
 Senegal ,1987,6909837,850,1206208206.0,84133806.0,1066184475.0,5981490174.0,1036393674.0,540136544.0,924612987.0,4945096500.0,1291045890.0,1451085453.0,1556888030.0,2146160233.0,6218004426.0,333797784.0,890816367.0,5873852199.0,6479948224.0
 Senegal ,1988,7113636,904,1353231170.0,93101690.0,1090673205.0,6385166426.0,1057874064.0,600404304.0,1029584325.0,5327292362.0,1295798198.0,1630810907.0,1754599938.0,2280596135.0,6783636750.0,353489326.0,948618490.0,6431128912.0,7016176921.0
 Senegal ,1989,7321832,814,1084763191.0,83497536.0,1187596698.0,5931337762.0,1040237066.0,519858253.0,997989441.0,4891100696.0,1327498079.0,1513395778.0,1660198805.0,2219073560.0,6312531923.0,343522683.0,921476149.0,5961784283.0,6518107113.0
 Senegal ,1990,7536001,986,1371025897.0,114610805.0,1395376879.0,7107324140.0,1209278019.0,745628166.0,1196202519.0,5898046121.0,1544248986.0,1836389840.0,1998471875.0,2621393766.0,7696743913.0,426464855.0,1164776714.0,7430312680.0,8028360114.0
 Senegal ,1991,7754289,922,1272565635.0,112664872.0,1355224959.0,6839812612.0,1138410917.0,652728565.0,1206342829.0,5701401695.0,1423536217.0,1707003040.0,1877102765.0,2588303573.0,7401439786.0,429984246.0,1120818696.0,7151454834.0,7748267397.0
 Senegal ,1992,7974514,990,1379613985.0,137335642.0,1300024184.0,7556873349.0,1309372064.0,823202445.0,1369256530.0,6247501286.0,1526649164.0,1854585845.0,2045630015.0,2882641774.0,8117040692.0,482084700.0,1189734576.0,7894974098.0,8491719528.0
 Senegal ,1993,8196551,872,1246876201.0,127922765.0,1159815841.0,6863397251.0,1161717367.0,703537592.0,1189212539.0,5701679883.0,1366157909.0,1730139970.0,1881613305.0,2669910497.0,7378504304.0,449852633.0,1002328904.0,7148642664.0,7651217345.0
 Senegal ,1994,8416997,556,829515102.0,88766877.0,1130343234.0,4212669591.0,672376754.0,587663419.0,864233944.0,3540292837.0,1099462268.0,1285980623.0,1406152956.0,1579666723.0,4934921528.0,286722570.0,744097301.0,4682980449.0,5130911963.0
 Senegal ,1995,8632681,749,1093627954.0,99251327.0,1384556275.0,5587481574.0,798826912.0,710458986.0,1101037816.0,4788654662.0,1607665920.0,1476670144.0,1632905074.0,1853625567.0,5988497662.0,331251706.0,977836034.0,6461738193.0,6305506899.0
 Senegal ,1996,8843423,768,1159387715.0,108164215.0,1369799807.0,5784854555.0,807698344.0,815566991.0,1230087637.0,4977156212.0,1664761115.0,1464878593.0,1634071080.0,1853768044.0,6145844587.0,346410235.0,1044043298.0,6790872137.0,6554707965.0
 Senegal ,1997,9051539,660,1040508268.0,96020722.0,1248160576.0,5413891940.0,749902688.0,943760172.0,1069034891.0,4663989252.0,1667294669.0,1258040728.0,1361383795.0,1640115933.0,5440076275.0,358209256.0,943838300.0,5977771869.0,5938518019.0
 Senegal ,1998,9261526,709,1107652332.0,128088465.0,1281162506.0,5849183645.0,761780996.0,1022123314.0,1287090367.0,5087402649.0,1872583583.0,1301450792.0,1385656423.0,1687913026.0,5752851332.0,381815804.0,1061725282.0,6567269649.0,6279885881.0
 Senegal ,1999,9478564,683,1145151679.0,128987647.0,1252459864.0,5896190181.0,821568767.0,1450590145.0,1221011810.0,5074621414.0,2008825403.0,1335013233.0,1402914851.0,1847130165.0,5992424248.0,389757178.0,1078482727.0,6471167155.0,6590417275.0
 Senegal ,2000,9704287,607,986067088.0,121212674.0,1065538170.0,5445127706.0,724956373.0,1342002190.0,1167585157.0,4720171333.0,1854415495.0,1249970898.0,1318858956.0,1712127601.0,5458865539.0,326592744.0,994006477.0,5886807118.0,5998250378.0
 Senegal ,2001,9938027,644,1056755213.0,124268207.0,1150922251.0,5770582395.0,741501433.0,1662609997.0,1247057303.0,5029080962.0,2081977236.0,1364405702.0,1428724528.0,1800123941.0,5811430281.0,387542603.0,1014015789.0,6397348782.0,6502135762.0
