Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Sierra Leone ,1970,2778557,156,120747358.0,16694819.0,144776896.0,391208920.0,41104264.0,70031556.0,62769748.0,350104656.0,149481083.0,37980031.0,111920828.0,70150658.0,416741048.0,42340494.0,53480415.0,433160819.0,455419229.0
 Sierra Leone ,1971,2832392,163,129199824.0,16479569.0,146503499.0,425754302.0,44019830.0,65341936.0,61902888.0,381734470.0,152005979.0,40210149.0,118652900.0,76465202.0,442970826.0,45483611.0,57348901.0,461029910.0,484905949.0
 Sierra Leone ,1972,2886642,177,143633799.0,15731320.0,157008289.0,471738539.0,52811878.0,62803315.0,62089641.0,418926661.0,155580941.0,43090140.0,129270420.0,86864250.0,488354918.0,49929844.0,64293224.0,510257420.0,534541855.0
 Sierra Leone ,1973,2942333,199,166391522.0,18115205.0,175017737.0,528553567.0,63706457.0,85408655.0,70707166.0,464847111.0,178518093.0,46965349.0,144921647.0,95943498.0,556203917.0,57700285.0,74473625.0,584180204.0,609761797.0
 Sierra Leone ,1974,2998843,224,210643103.0,20488084.0,192400581.0,637326922.0,75490506.0,110897557.0,88851656.0,561836417.0,238496552.0,52500712.0,153660622.0,104361172.0,643453856.0,67226523.0,88354858.0,672983260.0,702128507.0
 Sierra Leone ,1975,3055916,235,249614525.0,20599257.0,187755051.0,713722064.0,77757142.0,104308362.0,96722299.0,635964922.0,255397443.0,54527444.0,143588937.0,116931075.0,693104409.0,73914981.0,88455632.0,718509738.0,750388034.0
 Sierra Leone ,1976,3112863,214,247563383.0,19686949.0,153550825.0,662476806.0,66761228.0,88843789.0,81140570.0,595715577.0,207473356.0,48233025.0,119106041.0,110246914.0,643271056.0,66443453.0,79732144.0,666997168.0,697398064.0
 Sierra Leone ,1977,3172195,239,280425034.0,21975386.0,176957745.0,746711839.0,73773934.0,96703670.0,90223526.0,672937906.0,226306526.0,55416191.0,130419138.0,120386898.0,727576365.0,74047496.0,100322414.0,758306183.0,794565201.0
 Sierra Leone ,1978,3235170,299,337924234.0,27724434.0,235794196.0,967192860.0,94426843.0,127721856.0,124446936.0,872766017.0,305659143.0,75849867.0,183085885.0,152745939.0,938969040.0,100958788.0,137052863.0,966071684.0,1025595589.0
 Sierra Leone ,1979,3300032,334,368432022.0,38864137.0,268724152.0,1146808708.0,104353644.0,175725050.0,162207738.0,1042455063.0,410926270.0,85501103.0,218157358.0,172556770.0,1091304978.0,138874517.0,154420173.0,1103014506.0,1181413025.0
 Sierra Leone ,1980,3367477,374,400688704.0,53216469.0,305401584.0,1310341555.0,101800528.0,236264327.0,222110243.0,1208541027.0,520434784.0,92867955.0,229039507.0,203474733.0,1236500300.0,186257640.0,164866707.0,1258626863.0,1332661457.0
 Sierra Leone ,1981,3437108,395,449377848.0,52451042.0,271179201.0,1388437507.0,112416105.0,227790528.0,217436414.0,1276021403.0,458539375.0,111990063.0,221617466.0,232958232.0,1343880755.0,228705445.0,158770722.0,1355954672.0,1428374808.0
 Sierra Leone ,1982,3509197,434,549634326.0,45544920.0,212699362.0,1553951092.0,140723006.0,222849874.0,203010237.0,1413228086.0,382489744.0,127348903.0,222418396.0,267521132.0,1534377403.0,270174235.0,179526578.0,1521656612.0,1606087812.0
 Sierra Leone ,1983,3585773,371,509267517.0,34570927.0,150957935.0,1286779989.0,107913704.0,186423956.0,171873793.0,1178866284.0,227952545.0,94997420.0,172564121.0,236476760.0,1336355150.0,230376008.0,153390330.0,1331879110.0,1396209336.0
 Sierra Leone ,1984,3666262,446,684543301.0,43424965.0,171452541.0,1543300562.0,121587858.0,187618717.0,172135619.0,1421712704.0,191717184.0,89686738.0,189411407.0,264041247.0,1632691416.0,221707362.0,229999566.0,1635239133.0,1711110020.0
 Sierra Leone ,1985,3749419,356,537586910.0,32470249.0,147862020.0,1243364772.0,94573356.0,147637647.0,129463408.0,1148791416.0,162895033.0,59564630.0,234495410.0,189230592.0,1311281992.0,123644989.0,194068875.0,1334478651.0,1376081593.0
 Sierra Leone ,1986,3842917,261,362074416.0,20183317.0,119717916.0,859902080.0,60658025.0,102919763.0,91768347.0,799244055.0,117160904.0,49113873.0,171234855.0,122529413.0,906343263.0,84204936.0,146082289.0,1004106126.0,965343342.0
 Sierra Leone ,1987,3947865,201,311901827.0,14801902.0,117631700.0,741363421.0,43631338.0,73127399.0,69316582.0,697732082.0,113199736.0,45692829.0,119637986.0,104047721.0,768717497.0,71547892.0,146796259.0,793618300.0,818922783.0
 Sierra Leone ,1988,4056215,301,477127608.0,27003091.0,191254347.0,1197198428.0,82611472.0,144271269.0,137978736.0,1114586956.0,249152686.0,84041436.0,170879200.0,153545338.0,1195211060.0,118372253.0,248334105.0,1219853636.0,1283588936.0
 Sierra Leone ,1989,4159163,285,432251438.0,24330397.0,217208562.0,1118471697.0,84110631.0,167667085.0,160491454.0,1034361066.0,291955520.0,82853381.0,163289290.0,127475898.0,1138089356.0,122146469.0,268605021.0,1186760569.0,1211391825.0
 Sierra Leone ,1990,4325388,192,401544178.0,19682790.0,197378144.0,806922293.0,68584103.0,88210201.0,83991840.0,738338191.0,208996516.0,29087655.0,55948957.0,215859895.0,833878155.0,59355160.0,81487174.0,828913483.0,879295758.0
 Sierra Leone ,1991,4378169,235,486492922.0,23850453.0,240092720.0,966411059.0,101348554.0,98479722.0,90024462.0,865062505.0,249258328.0,35222733.0,67824631.0,261468513.0,1010246486.0,71884608.0,98725358.0,1028712719.0,1055725161.0
 Sierra Leone ,1992,4301566,201,423950179.0,20775344.0,206704822.0,862368453.0,94796105.0,76389095.0,76389095.0,767572348.0,215105916.0,30712759.0,59080035.0,227901316.0,880434740.0,62696866.0,86030999.0,865299595.0,920350554.0
 Sierra Leone ,1993,4295689,241,474311469.0,23252522.0,223622056.0,1007370833.0,116555303.0,80131771.0,80131771.0,890815530.0,227199867.0,34374716.0,66039316.0,255037834.0,985004572.0,70104938.0,96258494.0,1036241656.0,1040672380.0
 Sierra Leone ,1994,4314953,265,570616433.0,27987534.0,364230330.0,1192229465.0,136995311.0,104906319.0,104906319.0,1055234153.0,316553333.0,41248070.0,79691306.0,306478346.0,1184785630.0,84218221.0,115793790.0,1141382262.0,1234192002.0
 Sierra Leone ,1995,4324149,271,534370695.0,26152624.0,219427207.0,1285810966.0,164998657.0,65999463.0,65999463.0,1120812309.0,312120077.0,38780950.0,74372596.0,287436576.0,1109991290.0,79229506.0,108429293.0,1170048284.0,1178561806.0
 Sierra Leone ,1996,4347370,299,591111978.0,29013146.0,227136741.0,1371845241.0,138557465.0,127674849.0,127674849.0,1233287776.0,452283904.0,42890313.0,82081589.0,318080817.0,1227499145.0,87219960.0,119991655.0,1299774184.0,1274619892.0
 Sierra Leone ,1997,4405028,270,548706174.0,26952616.0,160433490.0,1130939955.0,118533889.0,50065999.0,50065999.0,1012406066.0,174388348.0,39358267.0,77332609.0,293722206.0,1138670552.0,80635825.0,111321122.0,1190742863.0,1150810523.0
 Sierra Leone ,1998,4449975,205,425229608.0,20674530.0,147454491.0,883768666.0,81278454.0,50013049.0,50013049.0,802490212.0,173308987.0,31226035.0,58568745.0,229748154.0,884392781.0,63910388.0,86261356.0,911078061.0,910059689.0
 Sierra Leone ,1999,4475145,206,426530860.0,21115775.0,113243465.0,1044181947.0,103875687.0,31530045.0,31530045.0,940306260.0,254062612.0,30930080.0,58821117.0,229785258.0,884964026.0,62022302.0,86688714.0,922032972.0,906026848.0
 Sierra Leone ,2000,4584067,192,396064266.0,19499815.0,155617847.0,974262046.0,123357378.0,59172724.0,59172724.0,850904668.0,338057829.0,27426463.0,58280647.0,208687684.0,820248606.0,57497816.0,80218378.0,880740297.0,860650532.0
