Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Singapore ,1970,2061831,940,49261406.0,126975519.0,2420440215.0,1516846224.0,227295000.0,733204408.0,616910904.0,1289551224.0,2785458083.0,335225825.0,390269239.0,537922789.0,1815354661.0,207074304.0,503851405.0,1938932842.0,1920574149.0
 Singapore ,1971,2095900,1082,58707805.0,163634486.0,2713703567.0,1779590596.0,283442989.0,910642961.0,821909276.0,1496147607.0,3176416790.0,422460188.0,483396989.0,640278930.0,2161994425.0,245943419.0,570032795.0,2268297838.0,2271575773.0
 Singapore ,1972,2131565,1381,65315556.0,242488889.0,3150862223.0,2171057779.0,353742222.0,1206293334.0,1099591112.0,1817315556.0,3610631112.0,595377778.0,670151111.0,818844445.0,2812728890.0,326435556.0,689493334.0,2944604445.0,2951928890.0
 Singapore ,1973,2168363,1909,96729561.0,291816443.0,5006090532.0,3061854832.0,457644362.0,1646152386.0,1467546561.0,2604210470.0,5389183545.0,900923753.0,1001193690.0,1137762646.0,4039527409.0,455324806.0,1056700262.0,4139268324.0,4230382118.0
 Singapore ,1974,2202329,2326,105873663.0,376261866.0,7870475750.0,3721869615.0,537657648.0,2343090855.0,1974913140.0,3184211967.0,8661450500.0,1158331738.0,1267734523.0,1419979209.0,5073482342.0,551363773.0,1352269308.0,5121658963.0,5265532243.0
 Singapore ,1975,2232425,2617,124783874.0,443765024.0,7938683426.0,4084847975.0,606502762.0,2246784465.0,2020031207.0,3478345213.0,8478682582.0,1241091385.0,1363049804.0,1620756548.0,5583814787.0,647577279.0,1383882259.0,5841605872.0,5789524736.0
 Singapore ,1976,2261936,2670,124087271.0,473239551.0,9076745106.0,4165746491.0,630271062.0,2404362887.0,2123527409.0,3535475429.0,9498059031.0,1340879121.0,1468366043.0,1660567756.0,5855211283.0,736833940.0,1392116722.0,6039278116.0,6072181883.0
 Singapore ,1977,2292166,2891,133516439.0,476510618.0,10911002709.0,4557637125.0,709518734.0,2362507175.0,2222554727.0,3848118391.0,11009264577.0,1514839715.0,1652004592.0,1759039109.0,6455152908.0,878576699.0,1555505453.0,6626998444.0,6703779620.0
 Singapore ,1978,2323251,3463,134299315.0,476731786.0,13340706462.0,5386088545.0,870614879.0,3053000738.0,2792537462.0,4515473666.0,13641098938.0,1881773508.0,2056002024.0,2085289301.0,7760380825.0,1166038193.0,1842020207.0,8044942341.0,8063851544.0
 Singapore ,1979,2358229,4107,150605295.0,545995930.0,17954450527.0,6202868784.0,945755269.0,4094624581.0,3459874995.0,5257113515.0,18504309311.0,2454889308.0,2670749234.0,2477054729.0,9346725584.0,1353562218.0,2148758178.0,9685782940.0,9722066170.0
