Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Slovakia ,1990,5261305,3204,499941677.0,1169277719.0,4011862808.0,13734551858.0,4423844528.0,4944971862.0,5211155376.0,9310707330.0,5619163048.0,4393603496.0,6655514941.0,3933949859.0,14239192143.0,647647448.0,1332860499.0,16859743979.0,16847017815.0
 Slovakia ,1991,5280226,2228,269015905.0,845950445.0,4905996744.0,9100657997.0,2911441946.0,3258167141.0,3299125317.0,6189216052.0,5458348203.0,3121270755.0,4725635578.0,2806520887.0,10074170671.0,486123958.0,940923897.0,11762230398.0,11798767085.0
 Slovakia ,1992,5301892,2412,273663347.0,570418716.0,8096613980.0,10440741194.0,3882412996.0,3268216006.0,4175184799.0,6558328198.0,8939354929.0,2262552405.0,3253224397.0,5125745532.0,11734514095.0,895531551.0,1615930553.0,12788427681.0,12826613064.0
 Slovakia ,1993,5321859,2563,329373982.0,546160255.0,7244080328.0,11703487771.0,3882583170.0,3239354498.0,4316297704.0,7820904601.0,8250508941.0,1974846247.0,3162094260.0,5510977555.0,12370568508.0,803480307.0,2018482150.0,13641691456.0,13810323331.0
 Slovakia ,1994,5338811,2958,404372084.0,715861057.0,8839535199.0,12441508556.0,3838894967.0,3188076911.0,4428221632.0,8602613588.0,8475794173.0,2504319151.0,3785429979.0,5741990703.0,13655235866.0,1144417171.0,1863164873.0,15790592214.0,15977664087.0
 Slovakia ,1995,5349997,3767,451920163.0,785192412.0,10808016572.0,15445729242.0,4767327783.0,4736601985.0,5226173797.0,10678401460.0,10948152774.0,3815464773.0,4774515216.0,7893386969.0,17355062047.0,1412915238.0,2037132048.0,20153457798.0,20042195026.0
 Slovakia ,1996,5358289,4076,498091390.0,1213254105.0,10673619565.0,17139035816.0,5478462792.0,7379796063.0,7150402599.0,11660573024.0,13538925869.0,3895922870.0,4978985677.0,7991272169.0,18961607834.0,2026139898.0,2253864596.0,21840503086.0,21653525575.0
 Slovakia ,1997,5365829,4094,453144198.0,1208433221.0,11749468897.0,16555244675.0,5038802137.0,7634534544.0,7711704254.0,11516442538.0,14022269678.0,3750779530.0,4729702091.0,8200718791.0,19271631938.0,1809549511.0,2870084126.0,21966572814.0,21916978438.0
 Slovakia ,1998,5371081,4257,484840484.0,1249773442.0,10386761566.0,17478678236.0,5290927657.0,7859318985.0,8434725364.0,12187750579.0,12905198004.0,4161983415.0,5133499300.0,8013945373.0,20091730897.0,2106243620.0,3103428678.0,22862793342.0,22819560781.0
 Slovakia ,1999,5374620,3857,342276672.0,1025948003.0,9648849774.0,15717275244.0,4387646746.0,6098003883.0,6414069963.0,11329628497.0,10645731383.0,3673575440.0,4879510321.0,7128724665.0,18412741182.0,2192908949.0,2843372572.0,20729547201.0,20818397518.0
