Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 South Sudan ,2008,8823888,2158,555502337.0,605499221.0,9954535105.0,8139739989.0,2284142633.0,2146035739.0,2142481888.0,5855597356.0,5783021414.0,243104561.0,8459297113.0,3387114937.0,14567280523.0,788256311.0,771610603.0,19045915116.0,14453648701.0
 South Sudan ,2009,9229227,1622,595112542.0,490694899.0,7122944550.0,7930886686.0,1896192888.0,1672749956.0,1669358890.0,6034693798.0,5132148412.0,297122079.0,5425212662.0,3242141810.0,11393126781.0,742072256.0,897892614.0,14967053546.0,11590968057.0
 South Sudan ,2010,9714419,2019,751430629.0,921810998.0,9299195933.0,9673532976.0,2538294429.0,1667504475.0,1663098146.0,7135238547.0,5710839160.0,330411113.0,7199588018.0,3808782175.0,14649590100.0,848973810.0,1119004471.0,19610226624.0,14924990282.0
 South Sudan ,2011,10243050,2299,772808941.0,807106588.0,11408428650.0,9994159779.0,2268743639.0,1679048070.0,1676577302.0,7725416140.0,5886575981.0,477848240.0,9784458455.0,3776970801.0,17034081223.0,792878885.0,1099857553.0,23549857752.0,17192591466.0
 South Sudan ,2012,10701604,1324,358430789.0,527016225.0,855201476.0,12516876862.0,2370216453.0,1151852705.0,1146040597.0,10146660410.0,5643620038.0,236544357.0,4737623026.0,1954128357.0,8742148884.0,493634155.0,671316333.0,14167515792.0,8874498843.0
 South Sudan ,2013,11106031,1471,595625881.0,922327766.0,3623069217.0,14147162380.0,3275232981.0,1162564378.0,1162564378.0,10871929399.0,6208329506.0,286996537.0,6283889802.0,2978746473.0,12543840497.0,825828877.0,937421697.0,16338974816.0,12724466341.0
 South Sudan ,2014,11213284,1333,724707307.0,1054221271.0,5283321107.0,15544655618.0,4523858233.0,1180102934.0,1180102934.0,11020797385.0,7064098180.0,275960506.0,7076941966.0,3667937306.0,14753055271.0,1073810404.0,1155437016.0,14943886441.0,14943981357.0
 South Sudan ,2015,11194299,531,255544906.0,391885158.0,2534602407.0,16500294019.0,4068449569.0,1245759333.0,1245759333.0,12431844450.0,14049796365.0,132605180.0,2372152111.0,1805111928.0,6143866634.0,651349528.0,667823002.0,5947552590.0,6230859386.0
 South Sudan ,2016,11066105,280,127333753.0,199332000.0,2031728942.0,5643251341.0,745789517.0,421282751.0,421282751.0,4897461824.0,4819876878.0,72127875.0,1279247492.0,955731585.0,3231682177.0,367738181.0,302299166.0,3103176711.0,3276386148.0
 South Sudan ,2017,10658226,330,103491885.0,210311578.0,2481252048.0,5989122650.0,661674239.0,625462514.0,625462514.0,5327448412.0,5524472224.0,75597313.0,1574267272.0,944263210.0,3523292020.0,376140569.0,314817507.0,3512566023.0,3571364985.0
 South Sudan ,2018,10395329,337,104246985.0,171294312.0,1509251803.0,4152250876.0,488238958.0,519340177.0,519340177.0,3664011918.0,2383091038.0,75227724.0,1834181166.0,948118084.0,3745764952.0,350606080.0,337318325.0,3500027655.0,3797751820.0
 South Sudan ,2019,10447666,404,158062427.0,282024632.0,896834960.0,4291196088.0,383999987.0,349133090.0,349133090.0,3907196101.0,1231333809.0,89618747.0,1944655153.0,1149877298.0,4247279913.0,362943779.0,349716624.0,4220807869.0,4305830329.0
 South Sudan ,2020,10606227,390,251474162.0,216470794.0,597057546.0,4859967347.0,362833485.0,364996153.0,364996153.0,4497133863.0,1606496552.0,106907113.0,1426163417.0,1452926030.0,4158267186.0,435184175.0,376048608.0,4140047873.0,4215524494.0
 South Sudan ,2021,10748272,386,171289883.0,256063497.0,1490507224.0,3128247220.0,293770882.0,701875583.0,701875583.0,2834476338.0,2017971729.0,83532862.0,1951495603.0,1143966358.0,4245434505.0,374170883.0,348448282.0,4144495715.0,4304069241.0
