Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 St. Vincent and the Grenadines ,1970,98459,215,2693964.0,1599929.0,5185211.0,24291350.0,4457313.0,4802526.0,4802526.0,19834036.0,11724663.0,1576166.0,2028171.0,8130575.0,19133315.0,2262969.0,2417706.0,21188008.0,21188008.0
 St. Vincent and the Grenadines ,1971,99699,231,2922740.0,1744669.0,5810303.0,26254097.0,4816453.0,5294915.0,5294915.0,21437644.0,12854843.0,1698191.0,2191428.0,8837464.0,20791320.0,2459444.0,2635575.0,23027662.0,23027662.0
 St. Vincent and the Grenadines ,1972,100843,314,4039493.0,2388853.0,7570851.0,37035390.0,6734108.0,7295439.0,7295439.0,30301282.0,18029352.0,2346800.0,3023362.0,12156041.0,28608903.0,3379123.0,3622030.0,31679579.0,31679579.0
 St. Vincent and the Grenadines ,1973,101924,340,4399596.0,2610677.0,8413450.0,39152909.0,7253265.0,7612909.0,7612909.0,31899644.0,18454933.0,2610029.0,3345242.0,13292327.0,31285598.0,3704683.0,3933074.0,34641622.0,34641622.0
 St. Vincent and the Grenadines ,1974,102951,367,4773649.0,2893304.0,10401505.0,42386271.0,7770968.0,9065281.0,9065281.0,34615303.0,21659236.0,2715265.0,3534910.0,14515106.0,34121719.0,4038179.0,4366571.0,37809624.0,37809624.0
 St. Vincent and the Grenadines ,1975,103879,367,4934379.0,2837334.0,7594735.0,47937842.0,8504177.0,8830252.0,8830252.0,39433665.0,22968960.0,2865777.0,3673741.0,14639832.0,34491257.0,4055565.0,4350406.0,38169685.0,38169685.0
 St. Vincent and the Grenadines ,1976,104709,354,4651018.0,2788451.0,9434687.0,37574543.0,7406211.0,6975146.0,6975146.0,30168332.0,15701364.0,2933287.0,3705157.0,14221553.0,33480635.0,3994790.0,4119667.0,37065866.0,37065866.0
 St. Vincent and the Grenadines ,1977,105499,468,5277858.0,3404987.0,15791011.0,46443378.0,8238584.0,12731486.0,12731486.0,38204793.0,29441139.0,2605749.0,3586440.0,16363026.0,38324389.0,4527633.0,5164444.0,49353162.0,42472384.0
 St. Vincent and the Grenadines ,1978,106236,573,7432085.0,3640977.0,27366155.0,51345646.0,10382874.0,12919266.0,12919266.0,40962773.0,35569003.0,4560060.0,5615023.0,20549145.0,48736153.0,5619403.0,5879521.0,60844771.0,53725376.0
 St. Vincent and the Grenadines ,1979,106882,660,7108951.0,4854636.0,28216725.0,68763910.0,12790497.0,18252219.0,18252219.0,55973413.0,47995903.0,5689218.0,6922536.0,23931968.0,56214227.0,7000170.0,6395966.0,70496360.0,62394997.0
 St. Vincent and the Grenadines ,1980,107480,758,7108951.0,6203146.0,33098255.0,77457854.0,14069546.0,23585171.0,23585171.0,63388308.0,58505704.0,6297226.0,7708900.0,29865352.0,66593215.0,7642387.0,8064479.0,81440340.0,69926183.0
 St. Vincent and the Grenadines ,1981,108191,928,9873543.0,6944826.0,42898297.0,84475434.0,17605743.0,24110956.0,24110956.0,66869692.0,61210181.0,8164680.0,10051792.0,35900629.0,80926720.0,9376375.0,8779556.0,100382836.0,85864273.0
 St. Vincent and the Grenadines ,1982,108974,1019,11453310.0,7349379.0,50257574.0,100521778.0,20314318.0,24298736.0,24298736.0,80207460.0,70076757.0,9206979.0,11428309.0,39639006.0,91587340.0,11110362.0,10606974.0,111059203.0,99525493.0
 St. Vincent and the Grenadines ,1983,109684,1094,13140789.0,7821357.0,57579869.0,110277699.0,21931940.0,23622727.0,23622727.0,88345759.0,74458693.0,9424125.0,12202484.0,44139061.0,100954669.0,12170020.0,11480957.0,119955350.0,111566633.0
 St. Vincent and the Grenadines ,1984,110329,1197,15510439.0,5596316.0,71373891.0,103056049.0,23662419.0,29068348.0,26476984.0,79393630.0,79285671.0,12811598.0,15782955.0,49301856.0,111649390.0,13261790.0,12196034.0,132024988.0,121418475.0
 St. Vincent and the Grenadines ,1985,110906,1296,17772378.0,6540273.0,82283371.0,102085546.0,22646703.0,32335721.0,28617676.0,79438843.0,82127083.0,12724740.0,16587344.0,48732113.0,117951493.0,14931556.0,13387829.0,143745409.0,133372043.0
 St. Vincent and the Grenadines ,1986,111388,1368,19675279.0,9608133.0,95115879.0,114800983.0,25505755.0,38194457.0,37142889.0,89295227.0,96094507.0,12768169.0,17091571.0,53171047.0,131471492.0,17147206.0,14778256.0,152402212.0,150404782.0
 St. Vincent and the Grenadines ,1987,111770,1533,19459856.0,10619516.0,90678124.0,141983808.0,28816237.0,46907451.0,43189406.0,113167571.0,107254752.0,14201331.0,19482929.0,58179038.0,144237227.0,19651854.0,16844034.0,171321388.0,168006739.0
 St. Vincent and the Grenadines ,1988,112076,1690,28004959.0,11125207.0,124996762.0,144483603.0,30095286.0,50700607.0,45442767.0,114388316.0,125980686.0,16503076.0,23485577.0,59857767.0,163225309.0,22477610.0,18274188.0,189430416.0,193971815.0
 St. Vincent and the Grenadines ,1989,112320,1851,28363997.0,12136589.0,115751440.0,192402158.0,34609579.0,51827287.0,47320567.0,157792579.0,135566173.0,18674533.0,26028388.0,69082640.0,181958090.0,25688698.0,20657778.0,207893150.0,210172621.0
 St. Vincent and the Grenadines ,1990,112487,2039,34467642.0,14159354.0,130174143.0,207612151.0,42133401.0,62342969.0,59714049.0,165478750.0,140701255.0,16937367.0,25405281.0,77677493.0,206203309.0,29863111.0,24630427.0,229320818.0,234254901.0
 St. Vincent and the Grenadines ,1991,112780,2175,32991043.0,15837405.0,112423123.0,243326750.0,44390547.0,66474130.0,63469649.0,198936203.0,141728271.0,18882374.0,27779003.0,84825337.0,222147771.0,33041715.0,27673269.0,245350254.0,252830764.0
 St. Vincent and the Grenadines ,1992,113222,2419,38922440.0,17850650.0,137940214.0,230045711.0,56428661.0,57460688.0,57460688.0,173617050.0,147205693.0,22644628.0,32636029.0,91081804.0,245540955.0,33970699.0,31079331.0,273864380.0,280127816.0
 St. Vincent and the Grenadines ,1993,113621,2505,30950305.0,20535251.0,119079756.0,258768045.0,48528649.0,61967409.0,61967409.0,210239396.0,149602064.0,22896655.0,32945126.0,97597327.0,252480591.0,35217990.0,35234592.0,284584476.0,288563863.0
 St. Vincent and the Grenadines ,1994,113944,2517,23797040.0,21534866.0,112423123.0,273833149.0,52290560.0,69478610.0,69478610.0,221542589.0,158160535.0,23151488.0,34406457.0,106692037.0,260933631.0,37102496.0,37400734.0,286788786.0,296210403.0
 St. Vincent and the Grenadines ,1995,114174,2772,33855187.0,22869840.0,136091149.0,260341761.0,54171515.0,80745411.0,80745411.0,206170246.0,161241584.0,23409156.0,35503354.0,112674064.0,285620532.0,39622337.0,41095751.0,316512717.0,324434020.0
 St. Vincent and the Grenadines ,1996,114290,2955,32531903.0,22186569.0,149034601.0,277819377.0,57181044.0,79994291.0,79994291.0,220638334.0,172196427.0,24597916.0,37932824.0,122245830.0,301455307.0,43733297.0,42824884.0,337724977.0,344822098.0
 St. Vincent and the Grenadines ,1997,114276,3099,27816819.0,28223932.0,146445911.0,337199984.0,56428661.0,91636653.0,91636653.0,280771322.0,211565391.0,24402406.0,39780210.0,131151530.0,319032169.0,45603791.0,46455886.0,354125169.0,366891916.0
 St. Vincent and the Grenadines ,1998,114165,3353,33062863.0,34255508.0,157170485.0,348875876.0,59061999.0,114921377.0,114921377.0,289813877.0,230051687.0,23724997.0,40387396.0,138948514.0,345640190.0,47789164.0,51196744.0,382746352.0,399060602.0
 St. Vincent and the Grenadines ,1999,113995,3490,33756208.0,32560719.0,176770569.0,327770761.0,62823910.0,115672497.0,115672497.0,264946851.0,221835556.0,22549706.0,40118326.0,156218171.0,367435306.0,49651919.0,55129963.0,397870316.0,418096110.0
 St. Vincent and the Grenadines ,2000,113813,3578,36231481.0,28854444.0,179359259.0,309002222.0,66209630.0,92763333.0,92763333.0,242792593.0,184862963.0,22315556.0,42406667.0,165888889.0,381690370.0,49285185.0,59023704.0,407237391.0,427944444.0
 St. Vincent and the Grenadines ,2001,113641,3910,31640370.0,28748148.0,175940741.0,364237037.0,68844815.0,99577037.0,99577037.0,295392222.0,209458889.0,26844444.0,46130000.0,190316296.0,411038889.0,47793333.0,66410741.0,444367466.0,462074074.0
 St. Vincent and the Grenadines ,2002,113450,4136,34076296.0,30270000.0,178311111.0,391039259.0,75269259.0,107368148.0,107368148.0,315770000.0,214822222.0,23804074.0,44516667.0,198118519.0,431775926.0,57011481.0,67782963.0,469173434.0,487762963.0
 St. Vincent and the Grenadines ,2003,113108,4271,31079259.0,34338889.0,172848148.0,417367407.0,75310000.0,132979259.0,132979259.0,342057407.0,241392593.0,24779259.0,45640741.0,207645185.0,449465556.0,59229259.0,71532222.0,483099273.0,509092593.0
 St. Vincent and the Grenadines ,2004,112608,4607,32185185.0,39170370.0,184518519.0,470882963.0,81760741.0,138737778.0,138737778.0,389122222.0,272195926.0,27338148.0,49814074.0,215828148.0,487206296.0,66071111.0,84137407.0,518730220.0,549900000.0
 St. Vincent and the Grenadines ,2005,112043,4898,38261111.0,39932222.0,200544444.0,503312593.0,86157037.0,138092963.0,138092963.0,417155556.0,291193333.0,29624815.0,51719630.0,227482593.0,516678519.0,70281852.0,89001111.0,548779211.0,579948148.0
 St. Vincent and the Grenadines ,2006,111427,5532,39563333.0,51574444.0,211994444.0,550996667.0,93778148.0,173912222.0,173912222.0,457218519.0,325853333.0,28093704.0,50861481.0,245288519.0,565534444.0,77588519.0,100658148.0,616439012.0,643500000.0
 St. Vincent and the Grenadines ,2007,110824,6232,42523333.0,63312593.0,212220000.0,685454815.0,102788148.0,188856667.0,188856667.0,582666667.0,402114815.0,35104815.0,62130370.0,249287407.0,622279259.0,93027778.0,111997778.0,690650680.0,713596296.0
 St. Vincent and the Grenadines ,2008,110316,6423,44222963.0,58240370.0,214320741.0,685555614.0,138430370.0,231993333.0,230521111.0,552251852.0,430818519.0,31400000.0,56859630.0,249355185.0,624413704.0,91894074.0,123841481.0,708594400.0,732662963.0
 St. Vincent and the Grenadines ,2009,109840,6378,45323333.0,54146296.0,196260000.0,691795532.0,146637037.0,180931481.0,178862222.0,544088889.0,388044444.0,33478148.0,59184815.0,252522222.0,608334444.0,86900000.0,110257778.0,700528709.0,714300000.0
