Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Suriname ,1970,379918,958,23983024.0,18584615.0,202102918.0,273852520.0,83407427.0,65503448.0,65503448.0,190445093.0,188400531.0,59948011.0,100890186.0,84385146.0,301247745.0,18374005.0,55030769.0,364068435.0,356362334.0
 Suriname ,1971,392026,1007,26328010.0,21367252.0,229902225.0,290909879.0,90181303.0,68680795.0,68680795.0,200728576.0,217851790.0,65330266.0,109797637.0,92303323.0,329927001.0,19988497.0,60142282.0,394646728.0,389074902.0
 Suriname ,1972,397529,1090,28184314.0,21327171.0,240456022.0,309647059.0,93168067.0,92482913.0,92482913.0,216478992.0,217164146.0,70748459.0,119978711.0,99767507.0,356477871.0,21839776.0,65380392.0,433119328.0,424052101.0
 Suriname ,1973,396331,1242,31522129.0,23834734.0,252787115.0,343900280.0,79467227.0,106869468.0,106869468.0,264433053.0,239085714.0,79036975.0,132196639.0,110648179.0,394169748.0,24095238.0,71872829.0,492108123.0,465155742.0
 Suriname ,1974,394519,1585,38634734.0,35514846.0,371987675.0,388429132.0,91113165.0,167839776.0,167839776.0,297315966.0,367192157.0,93801681.0,156993277.0,134017367.0,480800560.0,28546779.0,87093557.0,625437535.0,561749020.0
 Suriname ,1975,392137,1866,40076190.0,23223529.0,395964706.0,470293557.0,133518207.0,206134454.0,172635294.0,336775350.0,434328291.0,104334454.0,181815126.0,146259944.0,522015686.0,33088515.0,97552381.0,731697479.0,637653782.0
 Suriname ,1976,389231,1964,49666667.0,37472829.0,423366947.0,427751821.0,175512605.0,266351261.0,216547339.0,252239216.0,424737255.0,124132773.0,199557983.0,170237535.0,601208964.0,36513725.0,107760224.0,764342857.0,692938375.0
 Suriname ,1977,385810,2558,63094118.0,87139496.0,484337255.0,610594398.0,193187115.0,328006723.0,258404482.0,417407283.0,544622969.0,138998880.0,233126050.0,211477871.0,774528852.0,42062745.0,137628571.0,986963025.0,878726611.0
 Suriname ,1978,381885,2996,62820168.0,71383193.0,557638655.0,703967507.0,229563585.0,326979272.0,267242017.0,474403922.0,580931092.0,154343978.0,263953501.0,251279552.0,875026891.0,56517647.0,169072829.0,1144049860.0,1007723249.0
 Suriname ,1979,377362,3194,79467227.0,70287395.0,628200000.0,830978151.0,234770308.0,244771989.0,233673950.0,596207843.0,631625210.0,164140616.0,292315406.0,274777591.0,955727731.0,53297479.0,185582633.0,1205300840.0,1072324370.0
 Suriname ,1980,375112,3359,84057143.0,60696359.0,749592717.0,859202241.0,231911485.0,288136134.0,234427451.0,627290756.0,807822969.0,170648739.0,296631373.0,290671148.0,968264986.0,48982073.0,187226891.0,1260006162.0,1089108683.0
 Suriname ,1981,375859,3872,95977031.0,73164146.0,691773669.0,1007997199.0,295055462.0,380208403.0,329787675.0,712941737.0,861873950.0,185788235.0,320745098.0,357738375.0,1097740056.0,53708683.0,196406723.0,1455394958.0,1218105322.0
