Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Switzerland ,1970,6181227,4169,573154628.0,1886877821.0,10219114549.0,15890178471.0,2006899917.0,9228757925.0,8119439274.0,13883278554.0,10241186148.0,5614208636.0,6462828818.0,8709952816.0,24248875624.0,2210461276.0,4405600266.0,25768132748.0,25019374316.0
 Switzerland ,1971,6213708,4973,688878136.0,2267391396.0,11665235162.0,18964717382.0,2510494463.0,11166243927.0,10368474855.0,16454222919.0,11663801875.0,6747746721.0,7767575184.0,10465769078.0,29140046883.0,2656285414.0,5294147674.0,30901988195.0,30065766701.0
 Switzerland ,1972,6261153,6047,844887108.0,2781194002.0,14087242263.0,23279375800.0,3071458795.0,13403043533.0,12904547231.0,20207917005.0,13814064021.0,8276827355.0,9527778729.0,12834736107.0,35740065260.0,3258020608.0,6493448706.0,37860663783.0,36875785046.0
 Switzerland ,1973,6307361,8085,1135697599.0,3739917092.0,19117466433.0,31588997745.0,4265251463.0,17763818216.0,17177864453.0,27323746282.0,18866671868.0,11123240561.0,12804988534.0,17269417843.0,48063749283.0,4381356415.0,8732371799.0,50998067353.0,49591152050.0
 Switzerland ,1974,6341217,9302,1310164064.0,4309691684.0,23175983561.0,36859696245.0,5087238065.0,20419731819.0,18570266348.0,31772458180.0,23401874641.0,12833376532.0,14772207777.0,19888806754.0,55393362969.0,5049190801.0,10063301888.0,58988722793.0,57151989950.0
 Switzerland ,1975,6338267,10605,1501078804.0,4942897443.0,25656542685.0,44283743890.0,6325829790.0,17214179645.0,18550554447.0,37957914100.0,22224124442.0,14710086053.0,16933479204.0,22796609271.0,63501881055.0,5789313373.0,11538502961.0,67214169005.0,65521557001.0
 Switzerland ,1976,6302074,11208,1567331264.0,5167263347.0,28702898093.0,47407621110.0,6903664328.0,16249964768.0,16637728747.0,40503956782.0,24658487592.0,15340481281.0,17662301826.0,23903186877.0,66421873662.0,6054515786.0,12067274563.0,70635688429.0,68532965884.0
 Switzerland ,1977,6280837,12071,1683020996.0,5517932704.0,33445952100.0,51156547585.0,7258491592.0,17359110478.0,17897991913.0,43898055992.0,29624525237.0,16490889908.0,18976623172.0,25420152290.0,70950511744.0,6466047906.0,12886734675.0,75816244653.0,73196511394.0
 Switzerland ,1978,6281526,16822,2340694905.0,7732078757.0,44774135727.0,70760881449.0,10074692472.0,25410799636.0,25853485840.0,60686188977.0,39694071408.0,22969254172.0,26445846355.0,35592923278.0,99193243528.0,9047983169.0,18033717065.0,106000000000.0,102000000000.0
 Switzerland ,1979,6294186,18936,2617716886.0,8661532666.0,50672115982.0,80383646769.0,11394756205.0,31404858307.0,29594454301.0,68988890564.0,48981488848.0,25526133118.0,29405464614.0,40429154866.0,112000000000.0,10160951300.0,20252855905.0,119000000000.0,115000000000.0
 Switzerland ,1980,6319113,20092,2865775931.0,9241975104.0,56172306463.0,85374163402.0,11948382431.0,38144880441.0,34853369088.0,73425780971.0,58659333542.0,28170378553.0,32365634773.0,42047241398.0,119000000000.0,10833242665.0,21586636620.0,127000000000.0,123000000000.0
 Switzerland ,1981,6353698,18468,2525899213.0,8535562554.0,53580855567.0,77966251128.0,11126696057.0,31852413624.0,30208178062.0,66839555070.0,52733506165.0,24899955740.0,28716214498.0,39201511572.0,109000000000.0,9946628976.0,19828856295.0,117000000000.0,112000000000.0
 Switzerland ,1982,6390952,18649,2579296024.0,8577734041.0,50403732030.0,80326941460.0,11692626866.0,32278277588.0,31710089042.0,68634314594.0,49532838185.0,24664060840.0,28460153937.0,41717974143.0,112000000000.0,10138956436.0,20211598864.0,119000000000.0,115000000000.0
 Switzerland ,1983,6418413,18583,2590303975.0,8509141190.0,48723885419.0,81262524956.0,11982061245.0,32670732576.0,34012659634.0,69280463712.0,49685938639.0,24183553318.0,27919369620.0,42125651118.0,111000000000.0,10101764002.0,20111648374.0,119000000000.0,115000000000.0
 Switzerland ,1984,6441449,17797,2603394344.0,8277710501.0,51113957069.0,75784528711.0,11214173260.0,28518668479.0,27819526183.0,64570355452.0,47852331175.0,22469021225.0,25928843593.0,40452217151.0,106000000000.0,9634937741.0,19233421401.0,115000000000.0,110000000000.0
 Switzerland ,1985,6469824,17925,2453155387.0,8508813353.0,52332000203.0,76330968917.0,11493528819.0,29754315715.0,29202113446.0,64837440098.0,49278695223.0,22875375664.0,26484398025.0,40936078259.0,108000000000.0,9762426063.0,19459074060.0,116000000000.0,111000000000.0
 Switzerland ,1986,6503528,25276,3378314435.0,12249035709.0,68985786452.0,109000000000.0,16706404782.0,45958803173.0,46912151392.0,91836441941.0,67413088810.0,33032520888.0,38084938930.0,59411466009.0,154000000000.0,13832724543.0,27433972686.0,164000000000.0,159000000000.0
 Switzerland ,1987,6544453,31293,4217113180.0,15652251703.0,80965731434.0,136000000000.0,20817649196.0,56694635498.0,57939765177.0,115000000000.0,77985810677.0,41307406533.0,47526767471.0,74727076893.0,193000000000.0,17019769156.0,34248301196.0,205000000000.0,199000000000.0
 Switzerland ,1988,6592671,33858,4570674309.0,17552417150.0,90152024192.0,144000000000.0,22941914167.0,63446937060.0,64336123830.0,121000000000.0,86892624889.0,42889225764.0,49458639695.0,81951954119.0,209000000000.0,18654222520.0,37018071942.0,223000000000.0,216000000000.0
 Switzerland ,1989,6646208,32223,4375636551.0,17553338486.0,92154907468.0,137000000000.0,23062439904.0,62759707199.0,61699682443.0,114000000000.0,89078537830.0,40479787265.0,46301507565.0,79800966159.0,201000000000.0,18058984815.0,35281375887.0,214000000000.0,208000000000.0
 Switzerland ,1990,6711693,40354,5232723500.0,21566833486.0,109000000000.0,173000000000.0,29862650646.0,84332900857.0,80634904109.0,143000000000.0,107000000000.0,52186336257.0,59273819026.0,103000000000.0,257000000000.0,21728659502.0,45689938543.0,271000000000.0,266000000000.0
