Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Tajikistan ,1990,5417860,679,795891810.0,195620856.0,1767822731.0,2417913107.0,264628817.0,284525129.0,153980156.0,2153244969.0,1818585851.0,1025013967.0,1025013967.0,620049304.0,2962781088.0,189250891.0,136875618.0,3680778443.0,2838959967.0
 Tajikistan ,1991,5556306,643,927493705.0,166332911.0,1697830069.0,2184052952.0,249242203.0,264651399.0,112801898.0,1934831322.0,1746608713.0,1044389636.0,1044389636.0,396874233.0,2753473150.0,99017971.0,119364694.0,3571600652.0,2726584206.0
 Tajikistan ,1992,5656208,456,536864600.0,121611757.0,1232933770.0,1913993128.0,735313186.0,539021718.0,175027568.0,1178683046.0,1268360155.0,1171066404.0,1171066404.0,486720158.0,2474899500.0,95608406.0,63028175.0,2578583904.0,1979991607.0
 Tajikistan ,1993,5717806,381,330604150.0,95689475.0,848297863.0,1282252684.0,505208137.0,539430682.0,150490082.0,777044305.0,1589690069.0,910542325.0,910542325.0,393255187.0,1814528814.0,21458327.0,62979350.0,2178381716.0,1694508578.0
 Tajikistan ,1994,5803993,296,241710685.0,88981067.0,897296447.0,1185156255.0,364939053.0,404596273.0,256658188.0,820217202.0,1228862743.0,523530855.0,523530855.0,249530631.0,1288457805.0,31611488.0,153093157.0,1720512771.0,1362055831.0
 Tajikistan ,1995,5916173,257,415623820.0,24143866.0,1481486116.0,1057292889.0,180520216.0,283750076.0,205927575.0,876772673.0,1974271212.0,612294684.0,612294684.0,154317418.0,1315346197.0,52657665.0,56308725.0,1519189184.0,1218180303.0
 Tajikistan ,1996,6035600,206,345919753.0,16626927.0,819654379.0,849978430.0,126180677.0,187195438.0,108670819.0,723797753.0,875846728.0,406686910.0,406686910.0,83999888.0,986105222.0,40394518.0,92477225.0,1242459168.0,1032552528.0
 Tajikistan ,1997,6117069,189,271438437.0,15926159.0,809698990.0,782555650.0,132134376.0,145837985.0,127581649.0,650421272.0,1041378375.0,313766682.0,313766682.0,89041588.0,828070563.0,25848857.0,112048839.0,1153340634.0,911770707.0
 Tajikistan ,1998,6156805,268,304941100.0,31632107.0,704477628.0,1212753378.0,138486035.0,163675929.0,138769375.0,1074267343.0,1003505704.0,447136850.0,447136850.0,210988653.0,1220795707.0,52926689.0,173170307.0,1652616717.0,1305604690.0
 Tajikistan ,1999,6189565,219,253841100.0,36628772.0,792337390.0,1049174212.0,126691927.0,151411559.0,141485134.0,922482286.0,954751559.0,364676709.0,364676709.0,140444528.0,999140564.0,76992046.0,126557409.0,1357333282.0,1074704829.0
