Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Tonga ,1970,86484,201,6975856.0,496562.0,6022232.0,17937101.0,2639669.0,4051306.0,3648256.0,15297432.0,10913441.0,845794.0,1047068.0,3614075.0,14643921.0,652971.0,1857387.0,17409226.0,17097198.0
 Tonga ,1971,87904,224,7865626.0,560437.0,6766181.0,20322660.0,3006192.0,4531696.0,4101930.0,17316469.0,12253976.0,969731.0,1195648.0,4114333.0,16603762.0,756236.0,2111482.0,19713582.0,19366563.0
 Tonga ,1972,89275,265,9546384.0,692352.0,8509219.0,24236426.0,3457947.0,5676015.0,5031022.0,20778479.0,15163622.0,1131342.0,1405163.0,4807738.0,19878641.0,868708.0,2558297.0,23643085.0,23258038.0
 Tonga ,1973,90611,386,14013707.0,977634.0,11744820.0,36319018.0,5478165.0,8008203.0,7292820.0,30840854.0,21677085.0,1709212.0,2117777.0,7394713.0,29493272.0,1313055.0,3676388.0,34980019.0,34394956.0
 Tonga ,1974,92007,510,18433030.0,1317233.0,15683276.0,48325553.0,7258640.0,10359641.0,9529336.0,41066913.0,28348454.0,2387548.0,2909601.0,9923235.0,39569713.0,1915299.0,5071315.0,46922258.0,46020017.0
 Tonga ,1975,93477,464,18002868.0,1371647.0,17659957.0,43378339.0,5486588.0,11659000.0,9772986.0,37891751.0,30176235.0,1886014.0,2400382.0,8058426.0,36005737.0,1371647.0,4800764.0,43378339.0,42521060.0
 Tonga ,1976,94921,422,15685361.0,960328.0,10563611.0,43214772.0,7522571.0,7842681.0,7842681.0,35692201.0,22247605.0,2080711.0,2560875.0,9443228.0,34091653.0,1600547.0,3841313.0,40013678.0,39373459.0
 Tonga ,1977,95847,471,16991673.0,1307052.0,15152908.0,46187228.0,6847949.0,9033464.0,8596361.0,39339279.0,25643382.0,2614104.0,3049788.0,9730274.0,38775871.0,2323648.0,5373436.0,45165901.0,44730218.0
 Tonga ,1978,96227,576,19488295.0,2248649.0,15654296.0,59337236.0,7901692.0,16101561.0,13417968.0,51435544.0,36675780.0,3447929.0,4197479.0,11243247.0,46472087.0,2698380.0,6596038.0,55466684.0,54417315.0
 Tonga ,1979,96506,625,21174088.0,2920564.0,15224994.0,65877380.0,8783650.0,18152878.0,16396148.0,57093730.0,40843976.0,3942761.0,4818930.0,11974312.0,50817811.0,2920564.0,7009354.0,60314401.0,58411277.0
 Tonga ,1980,96708,851,31764119.0,2684292.0,21026952.0,84555190.0,10289785.0,20579569.0,18790042.0,74265405.0,47273360.0,4175565.0,5070328.0,15360114.0,69642457.0,4622947.0,10140657.0,82318280.0,78888352.0
 Tonga ,1981,96846,898,26789598.0,3010067.0,17632467.0,91861451.0,9494405.0,17509162.0,16029515.0,82367046.0,45129250.0,6772651.0,7826174.0,15652351.0,71188091.0,6772651.0,11137249.0,86990945.0,81873830.0
 Tonga ,1982,96931,940,28030996.0,2524118.0,17656992.0,94705684.0,11557304.0,16800896.0,15837786.0,83148381.0,43874950.0,6908113.0,18598766.0,15277556.0,84757229.0,6243871.0,14081922.0,91133948.0,85288622.0
 Tonga ,1983,96981,923,28671472.0,2949740.0,14213577.0,101184762.0,10237751.0,20972480.0,20276710.0,90947011.0,50592380.0,5899480.0,6843397.0,15928596.0,74805405.0,5781490.0,14630710.0,89554104.0,85778437.0
 Tonga ,1984,97022,911,27836064.0,5541930.0,22783468.0,96232078.0,13549613.0,20496933.0,20157755.0,82682465.0,53906058.0,4409326.0,6463835.0,18598665.0,73821709.0,5725951.0,9655265.0,88347923.0,85626305.0
 Tonga ,1985,97055,787,23313828.0,4149643.0,22046032.0,84674292.0,11681589.0,19306232.0,17020796.0,72992703.0,52853469.0,3500478.0,5044003.0,15989226.0,61703365.0,4905471.0,8301193.0,76395330.0,73173087.0
 Tonga ,1986,97078,951,28833554.0,5056824.0,22510767.0,105086289.0,13821227.0,21126585.0,19707219.0,91265063.0,61175190.0,3852197.0,5736021.0,18816770.0,74055894.0,5770250.0,9842474.0,92356619.0,87548452.0
 Tonga ,1987,97392,1126,34479307.0,5181942.0,32558575.0,117388501.0,17535706.0,23343935.0,23658942.0,99852795.0,68014495.0,4313523.0,6218794.0,23466824.0,88714716.0,7278243.0,12089605.0,109621631.0,105276516.0
 Tonga ,1988,97939,1584,45934113.0,6682923.0,33002788.0,175410165.0,23646184.0,33628422.0,30240927.0,151763982.0,96888417.0,6498224.0,9009100.0,32582842.0,121020687.0,9891972.0,16919738.0,155117754.0,145152959.0
 Tonga ,1989,98379,1604,46147223.0,8366460.0,38060838.0,177781513.0,26399135.0,30998564.0,30636047.0,151382378.0,95224034.0,7756721.0,10887701.0,34049843.0,128089557.0,10426726.0,18211605.0,157760404.0,151616881.0
 Tonga ,1990,98727,1683,47511629.0,7725942.0,53796647.0,182300064.0,30385683.0,29373258.0,28606925.0,151914381.0,103392487.0,8141489.0,10871149.0,38969703.0,136732333.0,12491244.0,19162667.0,166190860.0,162077481.0
 Tonga ,1991,99010,2006,59632652.0,7692119.0,44553692.0,235923822.0,39749806.0,32560431.0,29871934.0,196174017.0,117804732.0,8663564.0,11743590.0,45976814.0,162542272.0,13058899.0,24438197.0,198640080.0,195233213.0
 Tonga ,1992,99260,1963,63720534.0,9248193.0,45949394.0,207503304.0,36816987.0,34454940.0,30770820.0,170686317.0,95212389.0,8568210.0,11988125.0,42349482.0,165331712.0,13315461.0,24709917.0,194836248.0,192695249.0
 Tonga ,1993,99492,1926,62820682.0,6747225.0,36638912.0,207814916.0,32551373.0,33322951.0,29119148.0,175263543.0,87571717.0,8369172.0,11768729.0,42210993.0,160000132.0,12543189.0,23909314.0,191628110.0,190205063.0
 Tonga ,1994,99731,2054,42210594.0,15024572.0,33680411.0,212849163.0,31023795.0,40375084.0,41399565.0,181825368.0,89713221.0,15903821.0,19762364.0,62357975.0,169911357.0,11962046.0,18593805.0,204818406.0,195988057.0
 Tonga ,1995,99977,2126,43243788.0,18656706.0,35421350.0,229740185.0,34173547.0,54842789.0,53615492.0,195566638.0,113121692.0,15780421.0,20431400.0,65699376.0,180938533.0,13157657.0,19749606.0,212544628.0,208864682.0
 Tonga ,1996,100195,2267,45104697.0,19836282.0,44683013.0,244751981.0,38666318.0,58002657.0,56612519.0,206085663.0,128174875.0,16808419.0,22138774.0,71768862.0,192853275.0,14251648.0,19753013.0,227099412.0,222087133.0
 Tonga ,1997,100658,2186,43456622.0,14417141.0,44846983.0,242493902.0,40517075.0,38027757.0,41420959.0,201976827.0,109622580.0,16926153.0,21503292.0,73197908.0,185523194.0,14236676.0,18711554.0,220044066.0,214988342.0
 Tonga ,1998,101343,1967,40714872.0,13522634.0,37510540.0,223981146.0,34888489.0,39484586.0,38427583.0,189092657.0,112416192.0,14155355.0,17881276.0,65692795.0,167305642.0,12394495.0,17099571.0,199376187.0,191497793.0
 Tonga ,1999,101982,1996,44134129.0,14365710.0,31059037.0,214949445.0,36643808.0,38665728.0,39159796.0,178305637.0,88774491.0,15855913.0,19366360.0,66644600.0,174001134.0,12905154.0,16585180.0,203557871.0,197167531.0
 Tonga ,2000,102603,1885,37494790.0,14318723.0,29049967.0,210451258.0,34591097.0,39177331.0,38160848.0,175860162.0,88394057.0,16937999.0,20251921.0,65224089.0,167294407.0,12283914.0,17720970.0,193361085.0,190940275.0
 Tonga ,2001,103210,1623,30526698.0,13354476.0,22312853.0,184948340.0,32508291.0,40938620.0,40430680.0,152440049.0,81860601.0,13985277.0,17389271.0,58165718.0,146090820.0,11991199.0,14663458.0,167549241.0,166927103.0
 Tonga ,2002,103804,1781,32859643.0,14384827.0,33132015.0,209361428.0,31044473.0,45392361.0,44758380.0,178316955.0,100870007.0,14286642.0,17715002.0,63222736.0,156087599.0,11273296.0,16632094.0,184858599.0,181482577.0
 Tonga ,2003,104410,1990,39652481.0,15177419.0,40117774.0,236520995.0,35315559.0,43797815.0,43144005.0,201205435.0,111382663.0,16297038.0,20139707.0,69562695.0,176202782.0,12387080.0,19283400.0,207813677.0,206922433.0
 Tonga ,2004,105036,2301,48464072.0,16035311.0,46828236.0,277394849.0,39105151.0,49927190.0,49170098.0,238289698.0,130229803.0,18351676.0,23581215.0,81912129.0,206971807.0,12932360.0,24046720.0,241735526.0,239331450.0
 Tonga ,2005,105633,2466,46387781.0,17492936.0,46599257.0,311285424.0,41568450.0,58704364.0,57828613.0,269716974.0,152440574.0,19137579.0,26011831.0,91658892.0,223928064.0,13335483.0,29041141.0,260524334.0,261159455.0
 Tonga ,2006,106190,2777,45704200.0,16882865.0,42193156.0,340205306.0,62378368.0,61593965.0,60700311.0,277826938.0,150093407.0,20155835.0,27521604.0,113765921.0,245280190.0,14536902.0,26868698.0,294916417.0,289782657.0
 Tonga ,2007,106638,2889,50679650.0,18214227.0,37066188.0,369095600.0,56462065.0,66278606.0,65313374.0,312633535.0,169892779.0,21409488.0,29410957.0,112013401.0,254794006.0,15458992.0,29016778.0,308070772.0,303324921.0
 Tonga ,2008,106932,3205,49692812.0,20009022.0,53893040.0,402091362.0,64278181.0,71185386.0,70044348.0,337813181.0,190992822.0,22590938.0,32269122.0,124216793.0,279970336.0,16178417.0,37604169.0,342714579.0,337044351.0
 Tonga ,2009,107144,3083,49683659.0,22722301.0,43625599.0,387693861.0,66375078.0,81440900.0,80294139.0,321318784.0,194471164.0,20935233.0,30985985.0,119583632.0,278434835.0,17722179.0,37737078.0,330275188.0,320239639.0
 Tonga ,2010,107383,3570,61033566.0,32103509.0,46415288.0,425347273.0,69598533.0,108253221.0,106418850.0,355748740.0,216460471.0,22305520.0,34862604.0,133085878.0,326972010.0,22619012.0,43267441.0,383331807.0,371252194.0
 Tonga ,2011,107611,4200,74890547.0,43293232.0,71324512.0,480418173.0,80523950.0,154708383.0,122532979.0,399894224.0,274736412.0,25605076.0,40914561.0,152353009.0,386212561.0,25934596.0,48826617.0,451985850.0,439253736.0
 Tonga ,2012,107502,4443,77225737.0,43022719.0,79207809.0,502338213.0,90189096.0,169147127.0,162482382.0,412149117.0,282887467.0,27152773.0,44672210.0,156179842.0,405186836.0,28760820.0,55325508.0,477638637.0,463977936.0
 Tonga ,2013,107089,4217,75360559.0,27400790.0,89663933.0,513687944.0,88339489.0,103703259.0,98051291.0,425348455.0,275691323.0,27227012.0,42510666.0,151151740.0,383954160.0,29706926.0,57823480.0,451549586.0,440503056.0
