Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Trinidad and Tobago ,1970,988890,808,69635355.0,56963998.0,401771875.0,650305629.0,113472664.0,224306428.0,181556262.0,536832965.0,426244664.0,202822656.0,321116947.0,174820571.0,928106573.0,128537067.0,177032635.0,799058665.0,867670043.0
 Trinidad and Tobago ,1971,1000130,876,74928815.0,80352089.0,438137289.0,690012470.0,149658350.0,321765452.0,310541076.0,540354120.0,534385131.0,212128952.0,336731156.0,219831995.0,1015552042.0,115831268.0,187876721.0,876035840.0,946589062.0
 Trinidad and Tobago ,1972,1013031,1055,96953336.0,95829714.0,490219511.0,882886451.0,183500998.0,358211529.0,337883574.0,699385453.0,623783444.0,256337516.0,408559281.0,257869718.0,1215571837.0,149111557.0,207248231.0,1069140545.0,1143859514.0
 Trinidad and Tobago ,1973,1026563,1251,98630096.0,104877055.0,660415573.0,966953997.0,197188029.0,358817562.0,311944997.0,769765967.0,625043370.0,268062306.0,534890820.0,291201758.0,1438142964.0,171243372.0,237299864.0,1284416016.0,1381393736.0
 Trinidad and Tobago ,1974,1040291,1783,114463172.0,143672167.0,1323817932.0,1185019363.0,244196031.0,470398671.0,334677087.0,940823332.0,818265713.0,341383304.0,1010147301.0,366267342.0,2124759759.0,175074351.0,315135426.0,1854347549.0,2155608337.0
 Trinidad and Tobago ,1975,1054017,2363,139604632.0,205337054.0,1479217660.0,1449857034.0,317183917.0,704907203.0,527829065.0,1132673117.0,1070263698.0,372959706.0,1179609398.0,473149493.0,2556265537.0,184243943.0,374321018.0,2490282932.0,2578335523.0
 Trinidad and Tobago ,1976,1067696,2365,170101268.0,255161086.0,1595958625.0,1616630304.0,321982592.0,648298733.0,605829966.0,1294647711.0,1249217432.0,367469125.0,1147462047.0,500219077.0,2645454350.0,220025124.0,352485747.0,2524724878.0,2639563891.0
 Trinidad and Tobago ,1977,1081693,2874,189321121.0,323813206.0,1777873889.0,2060937166.0,425302581.0,883151586.0,763081674.0,1635634584.0,1441038834.0,437235240.0,1409834584.0,647831948.0,3314300668.0,325427532.0,418072278.0,3109063028.0,3313137896.0
 Trinidad and Tobago ,1978,1096569,3354,219061221.0,518779271.0,1793590427.0,2520755270.0,504909373.0,1136485905.0,1021693792.0,2015845897.0,1758388876.0,457245032.0,1382910213.0,800262460.0,3813715932.0,343128611.0,549574155.0,3678185613.0,3760431303.0
 Trinidad and Tobago ,1979,1112310,4126,233568586.0,614143108.0,2371292283.0,3244933678.0,675558185.0,1413130500.0,1298338387.0,2569375493.0,2253081588.0,667134977.0,1918229420.0,1097344326.0,4908909077.0,435718872.0,609904766.0,4589485456.0,4858213354.0
 Trinidad and Tobago ,1980,1127852,5541,244449110.0,798937032.0,3595753512.0,3908607089.0,793868831.0,2014359693.0,1848988678.0,3114738259.0,3025196314.0,569640459.0,2752366881.0,1340679700.0,6466303898.0,655393803.0,674477372.0,6249792845.0,6582294139.0
 Trinidad and Tobago ,1981,1142695,6363,364134876.0,1118511845.0,3499549246.0,4831303948.0,928012871.0,2054822813.0,1883734184.0,3903291076.0,3086384721.0,429997656.0,2574465780.0,1664738862.0,7304042334.0,737091091.0,845099880.0,7271486636.0,7380561135.0
 Trinidad and Tobago ,1982,1157140,7462,438847809.0,1335941392.0,3188552286.0,6849478857.0,1773340236.0,2502995854.0,2213156763.0,5076138622.0,4184664768.0,486195369.0,2209969212.0,2547580165.0,8532548583.0,910017018.0,1090192985.0,8634038236.0,8592695482.0
 Trinidad and Tobago ,1983,1171273,6870,455531280.0,1193955235.0,2741345327.0,7065822036.0,1718363170.0,2106721163.0,2109360062.0,5347458866.0,3944059507.0,656065730.0,2074871064.0,2499500281.0,8184912688.0,837397207.0,1123657621.0,8046443356.0,8195101342.0
 Trinidad and Tobago ,1984,1184747,6627,356881193.0,1055783632.0,2848503543.0,6499892114.0,1837993265.0,1963780791.0,1919359322.0,4661898849.0,3258023386.0,729293053.0,2467099933.0,2550383792.0,8328725859.0,782932347.0,1115644961.0,7851604633.0,8188064276.0
 Trinidad and Tobago ,1985,1199785,6181,387968405.0,905113095.0,2744649978.0,6136633950.0,1770324350.0,1460980743.0,1575153522.0,4366309600.0,2608899262.0,655605235.0,2342695920.0,2457970466.0,7984548056.0,706042416.0,1184757754.0,7416060609.0,7785721911.0
 Trinidad and Tobago ,1986,1216370,3941,246625215.0,518779271.0,1822483457.0,4426785533.0,1185158934.0,1093677096.0,1053507187.0,3241626599.0,2408472484.0,472004027.0,1409282887.0,1664015035.0,5251569633.0,511364509.0,901502716.0,4793706928.0,5060822165.0
 Trinidad and Tobago ,1987,1231442,3874,249043109.0,473287189.0,1858679121.0,4106027502.0,1093677096.0,979031588.0,938275257.0,3012350406.0,1939361366.0,501522018.0,1587269571.0,1551836076.0,5267588157.0,506220606.0,899931607.0,4770250047.0,5064340698.0
 Trinidad and Tobago ,1988,1244633,3554,227362264.0,472384377.0,2000416821.0,3989947254.0,940289116.0,619536286.0,600313086.0,3049658138.0,1906710686.0,581897624.0,1473822104.0,1399044882.0,4989176119.0,478936516.0,937625976.0,4423807641.0,4746757408.0
 Trinidad and Tobago ,1989,1256210,3309,198665571.0,441111971.0,2106923855.0,3529885683.0,769689270.0,756277453.0,674067983.0,2760196413.0,1867643429.0,561376089.0,1516009674.0,1242819239.0,4727997161.0,431617988.0,897772717.0,4157166506.0,4563246518.0
 Trinidad and Tobago ,1990,1266518,3889,220785037.0,474620205.0,2627872478.0,3795345647.0,866304025.0,738891764.0,737649930.0,2929041622.0,1793851308.0,695529347.0,1862942616.0,1327648665.0,5215929347.0,445202165.0,884730659.0,4925117207.0,5349576376.0
 Trinidad and Tobago ,1991,1276224,4019,224061995.0,536849784.0,2491516798.0,4326316975.0,952487367.0,913990485.0,885428283.0,3373829608.0,2163397562.0,749623402.0,1711498017.0,1539351794.0,5423193759.0,486723610.0,924708560.0,5129523232.0,5602910695.0
 Trinidad and Tobago ,1992,1285502,4093,229387051.0,531344859.0,2450636988.0,4428383248.0,1022526855.0,792042298.0,782852720.0,3405856392.0,1930308166.0,735679157.0,1764304481.0,1728290990.0,5780103033.0,559001682.0,967773970.0,5262151199.0,5741747836.0
 Trinidad and Tobago ,1993,1293974,3451,187391328.0,417827798.0,2123508598.0,3902008692.0,823365061.0,693370434.0,672066307.0,3078643631.0,1887585116.0,619432524.0,1466764007.0,1393504496.0,4838782383.0,459853836.0,913440918.0,4465779020.0,4831105348.0
 Trinidad and Tobago ,1994,1301393,3657,176000322.0,450669932.0,2405814027.0,3496839286.0,789585883.0,1055037816.0,1033124670.0,2707253403.0,1735592436.0,847610475.0,1752225255.0,1436879727.0,5204376529.0,441055725.0,947545568.0,4759784757.0,5222098694.0
 Trinidad and Tobago ,1995,1307822,3906,177372535.0,414561533.0,3024456167.0,3639569714.0,892500297.0,1168999693.0,1065001846.0,2747069417.0,2207735871.0,883691877.0,1896041684.0,1416400179.0,5615937769.0,532396704.0,1179165134.0,5107962528.0,5625289704.0
 Trinidad and Tobago ,1996,1313434,4209,184667922.0,447196703.0,3124984841.0,3973290435.0,962034089.0,1475833768.0,1400424920.0,3011256346.0,2494468438.0,969698758.0,2026591606.0,1500015801.0,6048887084.0,570854395.0,1319560658.0,5528400171.0,6079640607.0
 Trinidad and Tobago ,1997,1318171,4276,172370851.0,446803275.0,3259706239.0,4427263923.0,931851172.0,1823855112.0,1773033006.0,3495412750.0,3454045920.0,921640235.0,2007852026.0,1600346578.0,6134035913.0,548684151.0,1357979033.0,5636188437.0,6056610510.0
 Trinidad and Tobago ,1998,1322572,4549,156998057.0,522794823.0,3092615353.0,4589231356.0,917075338.0,2129619211.0,2004258766.0,3672156018.0,3431993562.0,925524126.0,2002451530.0,1762614628.0,6507350975.0,608959687.0,1453532251.0,6016295776.0,6379472358.0
 Trinidad and Tobago ,1999,1327063,5098,180751886.0,547130754.0,3592378433.0,5262967629.0,1055911578.0,1510049077.0,1480220119.0,4207056051.0,3177957018.0,1012059923.0,2364734393.0,1996232958.0,7369698079.0,660436890.0,1620411198.0,6765475677.0,7187270542.0
 Trinidad and Tobago ,2000,1332203,5965,172988647.0,607118898.0,5097177294.0,5968461011.0,1028952558.0,1444822978.0,1339431159.0,4939508453.0,3903015940.0,1411070381.0,3274531440.0,2147285452.0,8742019768.0,746279106.0,1793816226.0,7946107492.0,8607445343.0
 Trinidad and Tobago ,2001,1338567,6536,167854137.0,697974355.0,5152808119.0,5827475778.0,1278210716.0,2488345028.0,2458371088.0,4549265062.0,4153676796.0,1430568665.0,3277657400.0,2458322492.0,9385505753.0,948580067.0,1835117302.0,8749003505.0,9315121473.0
 Trinidad and Tobago ,2002,1345964,6691,187219275.0,660596039.0,4780412341.0,6830994532.0,1292615118.0,2151430495.0,2080313014.0,5538379413.0,4254041626.0,1453403306.0,3188150996.0,2619705527.0,9536524276.0,956865934.0,1923986505.0,9005567770.0,9508795741.0
 Trinidad and Tobago ,2003,1353548,8289,157354597.0,832825894.0,6182681120.0,7240890121.0,1516141908.0,3005823979.0,2892975628.0,5724748213.0,4495824642.0,2094162409.0,4882798321.0,2870034292.0,11795496332.0,980957523.0,2071525704.0,11218937017.0,11933587346.0
 Trinidad and Tobago ,2004,1361172,9992,140122129.0,959079770.0,7621522873.0,9144788476.0,1693522793.0,2784442384.0,2626753392.0,7451265683.0,5532520781.0,2805793515.0,6095422004.0,3345647918.0,13719045869.0,939539514.0,2239234534.0,13600801201.0,14018149164.0
 Trinidad and Tobago ,2005,1369075,11740,145912878.0,1203464983.0,11104093279.0,7257732821.0,1961635456.0,5090835263.0,4833294159.0,5296097365.0,6582294833.0,3475257220.0,7745128313.0,3494977999.0,16326707840.0,974211203.0,2763012465.0,16073279329.0,16870366530.0
 Trinidad and Tobago ,2006,1376919,13368,134862801.0,1382169688.0,15785025670.0,7795272595.0,2140790281.0,3034430593.0,2936772295.0,5654482314.0,7225041783.0,3731858590.0,9232624566.0,3871769112.0,18521293848.0,722438057.0,3177429623.0,18406749622.0,19389687075.0
 Trinidad and Tobago ,2007,1384861,15202,144073338.0,1553656376.0,15574797838.0,12974479259.0,2474421505.0,3050888492.0,2806865768.0,10500057754.0,8755459343.0,4387577352.0,10612108737.0,4631822537.0,22143349183.0,1315446797.0,3886241398.0,21052699652.0,22844706247.0
 Trinidad and Tobago ,2008,1392803,19004,155946318.0,2243214097.0,20258033343.0,17329959669.0,3001743835.0,3497621470.0,3077935713.0,14328215834.0,11667083915.0,5224851861.0,14142799869.0,5304703167.0,28096286258.0,1209488600.0,5040134208.0,26468403460.0,29418530567.0
 Trinidad and Tobago ,2009,1401191,13679,150062236.0,1201438016.0,10314780341.0,11712609322.0,2493038629.0,5813981605.0,5813981605.0,9219570694.0,7600867403.0,3350538864.0,8824407313.0,4892401861.0,20013481816.0,1239078429.0,3706093961.0,19166727572.0,20240503866.0
 Trinidad and Tobago ,2010,1410296,15752,153731682.0,1476039166.0,12539302476.0,13647554875.0,2623863373.0,4288978713.0,4288978713.0,11023691502.0,7123751025.0,4433355571.0,10015194819.0,4827570829.0,23048720840.0,1364853153.0,5211331191.0,22214408592.0,23352085038.0
 Trinidad and Tobago ,2011,1420020,16809,166502067.0,1368676622.0,19358263709.0,14252005251.0,2747411002.0,4726908838.0,4726908838.0,11504594249.0,11491086850.0,5551307406.0,12276653529.0,5000224988.0,26618172098.0,1440527505.0,6365587387.0,23869563260.0,26846090948.0
 Trinidad and Tobago ,2012,1430377,17273,164622520.0,1365330159.0,18955912558.0,15746807680.0,3138251315.0,4866307591.0,4866307591.0,12608556364.0,12447315405.0,4922470655.0,11651149440.0,5309314418.0,26594811170.0,1463899239.0,6640495393.0,24706238131.0,27121712423.0
 Trinidad and Tobago ,2013,1440729,18684,197191938.0,1456209215.0,20034568010.0,16151661284.0,3145950344.0,4880789978.0,4880789978.0,13005710940.0,12509568129.0,4158032398.0,11724141403.0,5838707129.0,28043803451.0,1488523448.0,7339030318.0,26918170899.0,28557451143.0
 Trinidad and Tobago ,2014,1450661,19061,203607595.0,1519432051.0,17776551042.0,17751343954.0,3472421706.0,5375276571.0,5375276571.0,14278922248.0,11414158759.0,4431848967.0,11653524718.0,5972498669.0,29095856078.0,1482917340.0,8263875704.0,27650763183.0,29489012807.0
 Trinidad and Tobago ,2015,1460177,18076,263129197.0,1531084164.0,13698904086.0,18772702639.0,3689991705.0,5513146540.0,5513146540.0,15082710935.0,11132783012.0,3953332898.0,8372387329.0,6688306424.0,26140613270.0,1460099828.0,7825606328.0,26394480930.0,26851970254.0
 Trinidad and Tobago ,2016,1469330,15775,251701148.0,1393195773.0,9931669353.0,19192317545.0,3754988388.0,4683128210.0,4683128210.0,15437329157.0,10310899222.0,4065396870.0,6893814401.0,6221636341.0,23037946994.0,1405941550.0,6871657781.0,23178642220.0,23496215885.0
 Trinidad and Tobago ,2017,1478607,16129,279808055.0,1310280468.0,10907708732.0,18911761142.0,3705612949.0,3776303197.0,3776303197.0,15206148192.0,9798086105.0,4041460453.0,7549220569.0,6420551350.0,23541265646.0,1393737535.0,6587667668.0,23847992455.0,23797686966.0
 Trinidad and Tobago ,2018,1504709,15689,249793676.0,1334168492.0,11813665939.0,17985524980.0,3526088565.0,3859587230.0,3859587230.0,14459436415.0,9336247910.0,4377981759.0,8451141679.0,6435643376.0,23956624002.0,1430419578.0,6055457201.0,23607784641.0,24322530239.0
 Trinidad and Tobago ,2019,1519955,15292,195959740.0,1269959590.0,9551252239.0,18462336241.0,3616428949.0,3784582242.0,3784582242.0,14845907292.0,7948310481.0,3926257155.0,7760691137.0,6716049758.0,23587227762.0,1475726930.0,6168840607.0,23243784128.0,23849860240.0
 Trinidad and Tobago ,2020,1518147,13961,246460315.0,1118708542.0,6339444389.0,18057117044.0,3538443463.0,3341786478.0,3341786478.0,14518673581.0,6678919060.0,3212165980.0,5839698077.0,6402331802.0,20606223392.0,1223828920.0,5775195736.0,21194295598.0,21059428851.0
 Trinidad and Tobago ,2021,1525663,15316,235644490.0,1201245953.0,11347080413.0,19066303888.0,3736304647.0,2657711655.0,2657711655.0,15329999241.0,8610899685.0,4764964589.0,9128454262.0,6473897338.0,23779554174.0,1229057947.0,5511254184.0,23367069693.0,24460196271.0
