Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Tunisia ,1970,5047404,306,228973815.0,78879217.0,310610821.0,1348069051.0,276045307.0,309136652.0,311204996.0,1072023744.0,374824117.0,131603943.0,214654514.0,679513180.0,1504833807.0,126689924.0,176123156.0,1544997746.0,1580150283.0
 Tunisia ,1971,5182040,354,305085776.0,82303168.0,398535391.0,1524318155.0,300204257.0,368440934.0,353163477.0,1224113899.0,432708664.0,158761991.0,258470926.0,723697443.0,1711817006.0,122808641.0,219451053.0,1834082430.0,1850153457.0
 Tunisia ,1972,5320148,459,448340338.0,99071964.0,556516970.0,1971721703.0,371009980.0,516238661.0,466189380.0,1600711723.0,582856249.0,231714892.0,347749212.0,857724730.0,2210512011.0,158042865.0,299582901.0,2443650646.0,2456627935.0
 Tunisia ,1973,5463650,545,503581427.0,118025244.0,698183867.0,2491070607.0,470565858.0,590204887.0,590051418.0,2020504746.0,765881923.0,276664196.0,450886134.0,1056085716.0,2678935893.0,199923760.0,350433613.0,2977758292.0,2998181653.0
 Tunisia ,1974,5613116,693,620329244.0,173100680.0,1230430590.0,2941489795.0,533452245.0,929284192.0,775151620.0,2408037547.0,1220476730.0,384367197.0,730952629.0,1136519613.0,3344372808.0,243009123.0,440461519.0,3891826149.0,3893032694.0
 Tunisia ,1975,5769074,828,747202942.0,271108082.0,1318581141.0,3734553815.0,719687542.0,1231827229.0,1173919005.0,3014866273.0,1525219938.0,427634076.0,802651961.0,1374134959.0,4070571918.0,294340076.0,581133899.0,4774923082.0,4752807683.0
 Tunisia ,1976,5929998,828,747626011.0,323369922.0,1286489516.0,3915417764.0,777600636.0,1403670651.0,1384054225.0,3137817128.0,1641140122.0,513358681.0,802477380.0,1489962266.0,4275119436.0,325621369.0,586062489.0,4909424330.0,4949577701.0
 Tunisia ,1977,6092769,918,754942282.0,365696152.0,1483365501.0,4577040936.0,940642856.0,1585410758.0,1651341011.0,3636398081.0,2001149542.0,586709935.0,935089285.0,1730050679.0,4824956925.0,414045463.0,625133064.0,5590293737.0,5610218971.0
 Tunisia ,1978,6254876,1051,841190813.0,447257041.0,1813007353.0,5290922395.0,1110022020.0,1864467196.0,1952796123.0,4180900377.0,2381682980.0,718454999.0,1117047114.0,2074145007.0,5712669056.0,506669112.0,726359969.0,6574484359.0,6552819653.0
 Tunisia ,1979,6416191,1237,909310374.0,508347795.0,2749464432.0,6104917175.0,1243723417.0,2148624348.0,2313228510.0,4861193760.0,3107700772.0,905063746.0,1514661351.0,2455184132.0,6840796777.0,577666005.0,875627119.0,7935045373.0,7892697818.0
