Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Tuvalu ,1970,5814,825,375589.0,319915.0,199545.0,2465213.0,1669188.0,1934278.0,1934278.0,796026.0,2013861.0,47417.0,105834.0,1178669.0,2411113.0,200898.0,230209.0,4794236.0,2585174.0
 Tuvalu ,1971,5854,871,399142.0,339839.0,212484.0,2619569.0,1773669.0,2055473.0,2055473.0,845900.0,2139660.0,50371.0,112426.0,1253381.0,2563221.0,213631.0,244801.0,5095943.0,2747866.0
 Tuvalu ,1972,5891,953,439643.0,374166.0,234078.0,2887498.0,1955065.0,2265780.0,2265780.0,932434.0,2359120.0,55459.0,123781.0,1381686.0,2824637.0,235501.0,269861.0,5615887.0,3028236.0
 Tuvalu ,1973,5934,1182,549543.0,467850.0,291725.0,3608808.0,2443554.0,2831553.0,2831553.0,1165254.0,2948413.0,69345.0,154774.0,1725062.0,3528182.0,294027.0,336927.0,7016862.0,3783673.0
 Tuvalu ,1974,6100,1220,584869.0,498045.0,307704.0,3827633.0,2591824.0,3002953.0,3002953.0,1235808.0,3124766.0,73820.0,164763.0,1825024.0,3740215.0,311064.0,356451.0,7443143.0,4013522.0
 Tuvalu ,1975,6381,1118,558021.0,476257.0,298379.0,3669511.0,2484538.0,2879206.0,2879206.0,1184973.0,2999355.0,70590.0,157555.0,1757004.0,3591473.0,299471.0,343166.0,7135689.0,3847741.0
 Tuvalu ,1976,6677,1055,551057.0,468225.0,296297.0,3614896.0,2447365.0,2837038.0,2837038.0,1167531.0,2950589.0,69400.0,154897.0,1735914.0,3545016.0,295876.0,339046.0,7042716.0,3797642.0
 Tuvalu ,1977,6984,942,513539.0,436131.0,273622.0,3385245.0,2291993.0,2656792.0,2656792.0,1093252.0,2769402.0,64643.0,144281.0,1620502.0,3307163.0,276205.0,316505.0,6576532.0,3546258.0
 Tuvalu ,1978,7297,979,560798.0,478207.0,293289.0,3680221.0,2492445.0,2886417.0,2886417.0,1187775.0,3006623.0,70880.0,158201.0,1750161.0,3587499.0,298305.0,341829.0,7146052.0,3853304.0
 Tuvalu ,1979,7552,982,592364.0,505032.0,297873.0,3811362.0,2581315.0,2988722.0,2988722.0,1230047.0,3099394.0,74856.0,167074.0,1794149.0,3714840.0,305802.0,350421.0,7415516.0,3998563.0
 Tuvalu ,1980,7731,1031,608097.0,525019.0,352079.0,4097462.0,2773083.0,3216699.0,3216699.0,1324381.0,3369660.0,77818.0,173686.0,2003080.0,4042524.0,341413.0,391228.0,7968026.0,4296581.0
 Tuvalu ,1981,7874,1112,687036.0,570788.0,379613.0,4452101.0,3012964.0,3498359.0,3498359.0,1439136.0,3608249.0,84602.0,188828.0,2169465.0,4409612.0,369773.0,423724.0,8756198.0,4721824.0
 Tuvalu ,1982,7993,878,542628.0,459688.0,275743.0,3665082.0,2482027.0,2876340.0,2876340.0,1183055.0,3031650.0,68134.0,152074.0,1727151.0,3513260.0,294384.0,337335.0,7020283.0,3785516.0
 Tuvalu ,1983,8099,915,595973.0,518215.0,283249.0,3825660.0,2594769.0,2990769.0,2990769.0,1230891.0,3104236.0,76810.0,171437.0,1759503.0,3688680.0,299897.0,343654.0,7410172.0,3995442.0
 Tuvalu ,1984,8197,982,699737.0,596080.0,288263.0,4096843.0,2774956.0,3209600.0,3209600.0,1321886.0,3253401.0,88350.0,197191.0,1828574.0,3990395.0,311669.0,357144.0,8051585.0,4341305.0
 Tuvalu ,1985,8329,783,381313.0,357368.0,419025.0,3361017.0,2266491.0,2653390.0,2653390.0,1094526.0,2917812.0,52969.0,118226.0,1946696.0,3515621.0,331803.0,380216.0,6518995.0,3515621.0
 Tuvalu ,1986,8496,954,722692.0,499640.0,317519.0,3885201.0,2628705.0,3068128.0,3068128.0,1256496.0,2900451.0,74056.0,165287.0,1860534.0,3928654.0,317116.0,363385.0,8102464.0,4370396.0
 Tuvalu ,1987,8665,1137,703867.0,659457.0,186251.0,5813281.0,3948270.0,4537656.0,4537656.0,1865010.0,5226932.0,97744.0,218170.0,2337783.0,4774348.0,398469.0,456603.0,9850607.0,5310255.0
 Tuvalu ,1988,8844,1579,1341530.0,1287186.0,460189.0,6803909.0,4652843.0,5208670.0,5208670.0,2151067.0,4947229.0,190788.0,425833.0,2716758.0,6764974.0,463049.0,530618.0,13962767.0,7525539.0
 Tuvalu ,1989,9017,1688,1816051.0,1438906.0,360589.0,7178199.0,4826178.0,5689144.0,5689144.0,2352021.0,5020573.0,213272.0,475963.0,2670134.0,7377660.0,455105.0,521503.0,15221322.0,8207360.0
 Tuvalu ,1990,9182,1925,2195762.0,936905.0,271699.0,7981524.0,5262735.0,6543408.0,6543408.0,2718788.0,5257630.0,138865.0,310014.0,3757414.0,8574472.0,640478.0,733898.0,17671326.0,9539000.0
 Tuvalu ,1991,9354,2009,2204319.0,1008879.0,399127.0,8586250.0,5905990.0,6790657.0,6790657.0,2680260.0,5630802.0,149544.0,333739.0,4080584.0,9119934.0,695434.0,796979.0,18790840.0,10145231.0
 Tuvalu ,1992,9466,2105,2230395.0,1480899.0,239756.0,9234051.0,6387453.0,6798893.0,6798893.0,2846598.0,5563619.0,219484.0,489659.0,3974066.0,9628512.0,677361.0,776131.0,19922974.0,10709079.0
 Tuvalu ,1993,9517,1869,2029795.0,1021528.0,221832.0,9298822.0,6565445.0,6453931.0,6453931.0,2733376.0,6395921.0,151403.0,338357.0,3821854.0,8609764.0,651628.0,746603.0,17789755.0,9578664.0
 Tuvalu ,1994,9559,2213,2422470.0,1106822.0,258634.0,9642876.0,5873146.0,9074714.0,9074714.0,3769730.0,7547973.0,164098.0,365835.0,4669144.0,10271356.0,795295.0,911790.0,21149616.0,11428251.0
 Tuvalu ,1995,9585,2261,2541681.0,1110867.0,274411.0,9979161.0,5868650.0,9675625.0,9675625.0,4110510.0,8166692.0,164584.0,366804.0,4797656.0,10571858.0,818028.0,936821.0,21669302.0,11762504.0
 Tuvalu ,1996,9611,2405,2965879.0,962346.0,597605.0,12815761.0,10478756.0,8444956.0,8444956.0,2337005.0,9365124.0,142637.0,320419.0,5535673.0,11811328.0,944749.0,1082261.0,23117845.0,12493198.0
 Tuvalu ,1997,9630,2645,3034048.0,1227666.0,499477.0,13534003.0,9583051.0,6857011.0,6857011.0,3950952.0,7492934.0,182193.0,403211.0,5860749.0,12664175.0,995266.0,1143236.0,25473684.0,13397557.0
