Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Uganda ,1970,10317212,137,616401343.0,30839395.0,447898978.0,1066763922.0,173202618.0,584144001.0,709486644.0,893561304.0,692263572.0,105500700.0,139016352.0,321726123.0,1352120774.0,44985006.0,199152541.0,1408690129.0,1423837336.0
 Uganda ,1971,10616338,146,681963808.0,34107492.0,426570485.0,1228804089.0,199411547.0,763880668.0,1005106134.0,1029392541.0,923018155.0,116702093.0,153768047.0,355752169.0,1495709578.0,49759222.0,220358840.0,1545015069.0,1575309484.0
 Uganda ,1972,10885563,155,741089024.0,37070937.0,447898978.0,1323327398.0,214948509.0,539209856.0,768610528.0,1108378889.0,692263573.0,126804144.0,167089528.0,386800798.0,1625520118.0,54071609.0,239398222.0,1692314476.0,1711634244.0
 Uganda ,1973,11146099,178,867130493.0,43407003.0,433954924.0,1579766544.0,256517187.0,502832221.0,601473955.0,1323249358.0,625997793.0,148483917.0,195662548.0,452844811.0,1902533295.0,63311994.0,280176459.0,1986386388.0,2003224947.0
 Uganda ,1974,11428676,211,1050155242.0,52466203.0,469691085.0,1946402133.0,315387229.0,764635304.0,946916781.0,1631014904.0,846935839.0,179616968.0,236627709.0,546927025.0,2302191818.0,76575481.0,339440159.0,2407460184.0,2425947281.0
 Uganda ,1975,11730959,237,1207167864.0,60416469.0,313931295.0,2351917915.0,383076490.0,624635729.0,725196279.0,1968841425.0,723316110.0,206475253.0,272125194.0,631067324.0,2648485482.0,88069700.0,389638932.0,2782278594.0,2786867819.0
 Uganda ,1976,12045227,243,1271813230.0,63802015.0,437444725.0,2423325124.0,393101058.0,493710322.0,519695070.0,2030224066.0,676105689.0,218279702.0,287659689.0,665322197.0,2792857702.0,93053434.0,411207147.0,2931917666.0,2940239924.0
 Uganda ,1977,12369253,255,1370300615.0,68058909.0,421833734.0,2647456098.0,426277809.0,444351965.0,457570674.0,2221178289.0,644890943.0,233562514.0,307460723.0,707791738.0,2996558857.0,99529492.0,443417387.0,3153425790.0,3165129539.0
 Uganda ,1978,12701999,255,1411469345.0,71011668.0,185171617.0,2831660397.0,468371763.0,375108474.0,375108474.0,2363288634.0,449476832.0,241430021.0,318594047.0,746151558.0,3104008794.0,103132594.0,453649582.0,3242663336.0,3252249018.0
 Uganda ,1979,13011511,236,1327424140.0,67064674.0,198927520.0,2773354454.0,444366915.0,310211250.0,310211250.0,2328987536.0,532379252.0,230177711.0,303266525.0,695863687.0,2922983310.0,97964551.0,431399733.0,3065971580.0,3081814501.0
