Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 United Kingdom ,1970,55650166,2546,2934978210.0,8856034092.0,28489482048.0,112000000000.0,23202463871.0,31717018671.0,30663774712.0,88390537411.0,27375638138.0,34842617489.0,41646337553.0,46206113184.0,131000000000.0,12927781853.0,18234783649.0,142000000000.0,131000000000.0
 United Kingdom ,1971,55875903,2862,3309304710.0,10388143810.0,32410579443.0,127000000000.0,26803430439.0,35087631824.0,34857575012.0,100000000000.0,30378114444.0,38589016623.0,46406509064.0,53656457044.0,149000000000.0,14832082815.0,20663066748.0,160000000000.0,148000000000.0
 United Kingdom ,1972,56057315,3272,3799773504.0,12401840488.0,35061564520.0,148000000000.0,31367520475.0,39213424166.0,39270568384.0,117000000000.0,35205933593.0,43494690824.0,52640800306.0,63436874919.0,173000000000.0,17327737106.0,23847462691.0,183000000000.0,170000000000.0
 United Kingdom ,1973,56166630,3706,4295155067.0,14566551886.0,43209859014.0,166000000000.0,35181117533.0,52099756842.0,47526736588.0,131000000000.0,47637753799.0,48228757494.0,58766843981.0,73812924830.0,198000000000.0,19930447952.0,27097474255.0,208000000000.0,193000000000.0
 United Kingdom ,1974,56233776,4000,4650570358.0,16380745807.0,55274751711.0,186000000000.0,41565515672.0,56905032252.0,54002434221.0,144000000000.0,65161677090.0,51211198218.0,62844077538.0,82289781472.0,218000000000.0,21969449095.0,29503486971.0,225000000000.0,206000000000.0
 United Kingdom ,1975,56266842,4739,5447506404.0,19907724301.0,61386225653.0,222000000000.0,54249705254.0,57583125116.0,61584908885.0,168000000000.0,65423667679.0,58756738196.0,72644018842.0,99178501869.0,258000000000.0,26188363711.0,34747880768.0,267000000000.0,242000000000.0
 United Kingdom ,1976,56263232,4561,4994372594.0,18548981573.0,65138845522.0,210000000000.0,51601478234.0,60318589268.0,58473599404.0,159000000000.0,67659715628.0,55663682789.0,70803537946.0,96109732196.0,248000000000.0,24191927053.0,32936462249.0,257000000000.0,233000000000.0
 United Kingdom ,1977,56244840,5089,5341443228.0,20184423654.0,78034831769.0,231000000000.0,54696381569.0,66572259009.0,62765688997.0,176000000000.0,76085479626.0,61636410609.0,80650912845.0,109000000000.0,278000000000.0,26081293676.0,36492240641.0,286000000000.0,263000000000.0
 United Kingdom ,1978,56240768,6471,6432233165.0,24761456782.0,94062510018.0,291000000000.0,68113917314.0,82920214826.0,78818331406.0,223000000000.0,89519846194.0,76997133612.0,104000000000.0,139000000000.0,351000000000.0,31678842481.0,45614107848.0,364000000000.0,336000000000.0
 United Kingdom ,1979,56265154,8367,7864562670.0,30894276383.0,120000000000.0,380000000000.0,87245402814.0,109000000000.0,104000000000.0,292000000000.0,118000000000.0,97917154380.0,136000000000.0,181000000000.0,452000000000.0,39106919015.0,58042889056.0,471000000000.0,439000000000.0
