Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Uruguay ,1970,2790265,903,365532258.0,123012097.0,278395161.0,2179245968.0,363681452.0,461233871.0,403262097.0,1815564516.0,353681452.0,464274194.0,506120968.0,742842742.0,2189983871.0,169104839.0,283375000.0,2519411290.0,2537645161.0
 Uruguay ,1971,2805492,1081,452822581.0,172217742.0,270766129.0,2581915323.0,466459677.0,608298387.0,485080645.0,2115455645.0,349314516.0,541653226.0,590012097.0,898024194.0,2666665323.0,214197581.0,339391129.0,3031762097.0,3048552419.0
 Uruguay ,1972,2821086,860,471544496.0,129307949.0,317145454.0,2058539603.0,282567258.0,459082781.0,330385202.0,1775972345.0,354958233.0,395760694.0,431989149.0,639405580.0,2094176527.0,150987377.0,270941976.0,2427315928.0,2450067269.0
 Uruguay ,1973,2836825,1096,677179532.0,144143825.0,390603365.0,2578486672.0,416321126.0,622765538.0,387228230.0,2162165547.0,408060036.0,575021316.0,632308783.0,756779291.0,2753726542.0,177225517.0,366090760.0,3110564554.0,3128676886.0
 Uruguay ,1974,2853588,1505,814278983.0,215261841.0,551971065.0,3775841905.0,606961038.0,792415741.0,613633912.0,3168880867.0,752266514.0,870843168.0,962679164.0,1060375890.0,3853755824.0,270678828.0,530483849.0,4294787302.0,4334170819.0
 Uruguay ,1975,2871947,1308,514983824.0,229227283.0,557104137.0,3296120015.0,489337458.0,817085949.0,706602758.0,2806782557.0,781221021.0,793243832.0,870968766.0,1022667909.0,3356813716.0,225920239.0,493045695.0,3756434290.0,3824532836.0
 Uruguay ,1976,2891094,1363,494092051.0,232784557.0,673000151.0,3292495079.0,520976533.0,939196669.0,856693414.0,2771518547.0,801705678.0,812893565.0,891659349.0,1123904921.0,3484139894.0,229990613.0,511708100.0,3940963815.0,4007226949.0
 Uruguay ,1977,2909327,1522,638267217.0,237992324.0,768157963.0,3765411263.0,517113271.0,1080289024.0,945125466.0,3248297991.0,1015138451.0,898132425.0,967568006.0,1212604304.0,3915845122.0,239674390.0,619739096.0,4428983286.0,4487941894.0
 Uruguay ,1978,2925840,1815,661758163.0,335794134.0,868317211.0,4446135307.0,621904981.0,1362641671.0,1189438738.0,3824230327.0,1130997676.0,1066956226.0,1145078749.0,1567430437.0,4686471334.0,264423686.0,711985999.0,5311266408.0,5377141229.0
 Uruguay ,1979,2940729,2605,1039145141.0,495062386.0,1134212035.0,6419192941.0,849113927.0,2109671444.0,1721898703.0,5570079013.0,1655053498.0,1752800808.0,1849803827.0,2028052562.0,6817026749.0,355859324.0,1049103508.0,7659243164.0,7698314225.0
