Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Uzbekistan ,1990,20579100,854,4917808667.0,1566964412.0,4243217101.0,16391711573.0,3775349119.0,5933327308.0,5173266070.0,12616362454.0,6726538489.0,2470392229.0,3860005585.0,2788134765.0,14880489436.0,878099084.0,869476922.0,17572678149.0,17669887121.0
 Uzbekistan ,1991,21074304,858,5647648579.0,1576225265.0,5341094411.0,15071603775.0,3177709491.0,5088379355.0,4349135117.0,11893894284.0,5666801388.0,2922735869.0,4398327711.0,3195496633.0,16292334653.0,645445552.0,829190913.0,18077562764.0,18177564762.0
 Uzbekistan ,1992,21588138,761,4871034835.0,1307306510.0,4662594815.0,11484628149.0,2786847880.0,7566662230.0,4173624976.0,8697780270.0,5678173780.0,2697440468.0,4108031503.0,1900522937.0,14004368422.0,717466615.0,1100006022.0,16418706247.0,16509531864.0
 Uzbekistan ,1993,22085918,745,3822417754.0,1229662295.0,4637259013.0,14480461552.0,3410616337.0,2519973079.0,3979422812.0,11069845216.0,4015824482.0,2256487784.0,3535918007.0,2358982426.0,12799409834.0,754583841.0,1097845510.0,16451665887.0,16513034079.0
 Uzbekistan ,1994,22564732,706,8740148210.0,908232280.0,2233827403.0,14803519025.0,2856433534.0,3051889162.0,4015210159.0,11947085492.0,2617132399.0,1497511034.0,2341111978.0,2335301604.0,16635120120.0,767309870.0,1543016179.0,15935403296.0,15988808088.0
 Uzbekistan ,1995,23026206,701,7213949880.0,894519905.0,4255097594.0,12549344233.0,3030519213.0,4090586546.0,5108156815.0,9518825020.0,3694080438.0,1626685938.0,2543073583.0,2333048379.0,15268664002.0,973689858.0,1310382397.0,16135806489.0,16177160422.0
 Uzbekistan ,1996,23465926,710,5962590594.0,1082636490.0,4774263735.0,13869777071.0,3116872093.0,4028144592.0,5899992827.0,10752904978.0,4610980368.0,1798177182.0,2811194941.0,2509412995.0,14894689974.0,932281989.0,1596572964.0,16665729879.0,16753407000.0
 Uzbekistan ,1997,23877289,771,8356701090.0,1061350726.0,4632842144.0,16393348568.0,3215008239.0,3687901118.0,6027658501.0,13178340329.0,4466869293.0,1704904855.0,2665280497.0,2630799279.0,17693536514.0,1008725077.0,1970679844.0,18419881797.0,18641128673.0
 Uzbekistan ,1998,24256775,737,7649803636.0,1058288103.0,3746968626.0,15577444940.0,3110526708.0,3922926182.0,5121233811.0,12466918232.0,3728557681.0,1312585041.0,2052068429.0,3047068637.0,16331714394.0,1007024944.0,1517460646.0,17873129490.0,17994380804.0
 Uzbekistan ,1999,24602708,825,9441400823.0,1081680033.0,3712686286.0,18371771826.0,3561555814.0,3662474090.0,5336269552.0,14810216012.0,3526915671.0,1433958385.0,2241841096.0,3484516238.0,19153773913.0,1053948070.0,1850387652.0,20306108563.0,20507843171.0
 Uzbekistan ,2000,24925554,642,7828743002.0,773104627.0,3651557498.0,14490935749.0,2593325124.0,3375311842.0,3793336784.0,11897610626.0,3513753279.0,1091867039.0,1706732330.0,2512419734.0,15440862551.0,1082120173.0,1537742683.0,16009091886.0,16520375874.0
 Uzbekistan ,2001,25248445,429,5295926145.0,506174182.0,2875605866.0,9657753626.0,1718399894.0,2334444562.0,2728057625.0,7939353731.0,2849766704.0,736865911.0,1152173023.0,1731655982.0,10532757597.0,718878458.0,1127949806.0,10836623075.0,11076721384.0
 Uzbekistan ,2002,25579030,450,5632133438.0,451388208.0,3118892393.0,9996499882.0,1775365294.0,2477256400.0,2287558999.0,8221134589.0,2927528149.0,799263515.0,1249596897.0,1798855838.0,11088723869.0,830164617.0,1126584871.0,11503069656.0,11721824024.0
 Uzbekistan ,2003,25905904,458,5473690019.0,442020206.0,3784172508.0,9553411213.0,1837646899.0,2433404842.0,2290147664.0,7715764313.0,2968225300.0,896059645.0,1399957314.0,1778471995.0,11131865383.0,973951278.0,1063774572.0,11873846596.0,12056702234.0
 Uzbekistan ,2004,26234923,542,6050545004.0,540597935.0,4859777995.0,10564382983.0,2103086213.0,3486600991.0,2980112330.0,8461296770.0,3774450743.0,1180861116.0,1848115200.0,2049048496.0,12951492663.0,1260176147.0,1203009880.0,14232050099.0,14344357411.0
 Uzbekistan ,2005,26573423,639,7175789470.0,649956525.0,5449486457.0,11818553108.0,2533696846.0,4519124406.0,3312434417.0,9284856262.0,3946179722.0,1702925601.0,2661508113.0,2491257827.0,15837235494.0,1548760009.0,1309963550.0,16991806853.0,17085010605.0
 Uzbekistan ,2006,26926819,755,8250576431.0,822502462.0,6076189244.0,13967294465.0,2549242848.0,5945473583.0,3772543617.0,11418051617.0,5098836577.0,2118406052.0,3302798809.0,3217849087.0,19162549783.0,1958103111.0,1610719884.0,20338151987.0,20890120715.0
 Uzbekistan ,2007,27309616,1034,9834632177.0,1232005619.0,8534184392.0,18681430326.0,3403650713.0,7545518754.0,5366667799.0,15277779613.0,7538343617.0,2600489227.0,4091194743.0,4646729531.0,24569154454.0,2581416155.0,2183176229.0,28234506388.0,27222789855.0
 Uzbekistan ,2008,27726810,1318,11052893714.0,1545455438.0,10845910365.0,25476482066.0,4652096830.0,11687263909.0,8185814501.0,20824385236.0,11438978482.0,3905890601.0,6079429545.0,6985643649.0,32099925278.0,3783085182.0,2653417750.0,36530524647.0,36570677858.0
 Uzbekistan ,2009,28167842,1495,11939006845.0,2131942180.0,11005716146.0,30398237842.0,5170205771.0,12727877059.0,9917190699.0,25228032070.0,11850676131.0,4506641279.0,6975312788.0,8840492979.0,37002250795.0,4007595288.0,3107900716.0,42100591158.0,42281154915.0
 Uzbekistan ,2010,28614227,1790,13463706098.0,2382476110.0,12140130054.0,37020350170.0,6253889053.0,13591817027.0,11297610118.0,30766461116.0,12492730872.0,5091586189.0,8234404435.0,11864173127.0,44383896457.0,4648813875.0,3790322813.0,51211107956.0,50010000887.0
 Uzbekistan ,2011,29057458,2144,17964613145.0,2616590781.0,14317571254.0,44281408787.0,7239707963.0,16155592564.0,12572423698.0,37041700824.0,15711670531.0,6197234760.0,9347071806.0,14265633595.0,54185605729.0,5526887021.0,4464809382.0,62301711832.0,60489808913.0
 Uzbekistan ,2012,29503051,2382,19670504171.0,2981549465.0,13085367992.0,50784631588.0,8397233530.0,20423254257.0,14190664019.0,42387398058.0,16951902026.0,7155061213.0,10892017476.0,16221499140.0,60872903290.0,6340047279.0,4767285760.0,70269161587.0,67914670757.0
 Uzbekistan ,2013,29963226,2547,20351808953.0,3464536450.0,13633391066.0,56665192625.0,9747867357.0,20105644594.0,15925263840.0,46917325267.0,17370726506.0,8499512526.0,12118801093.0,17970036126.0,66233139759.0,6973345316.0,5354611821.0,76329783496.0,73180037913.0
 Uzbekistan ,2014,30446542,2752,23199657853.0,3937021289.0,12971195909.0,61897783154.0,10708128669.0,22603699045.0,17935832966.0,51189654484.0,16423441902.0,10257951573.0,13906276944.0,19332031197.0,73720182666.0,7357935761.0,5987259622.0,83782187742.0,80845385816.0
