Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Venezuela (Bolivarian Republic of) ,1970,11355475,1141,909090909.0,1590909091.0,2954545455.0,7954545455.0,2727272727.0,6590909091.0,4772727273.0,5227272727.0,2500000000.0,3181818182.0,5227272727.0,3863636364.0,13181818182.0,454545455.0,1363636364.0,12954545455.0,13863636364.0
 Venezuela (Bolivarian Republic of) ,1971,11705674,1204,909090909.0,1590909091.0,3636363636.0,8636363636.0,3181818182.0,7045454545.0,5454545455.0,5454545455.0,2727272727.0,3636363636.0,5909090909.0,4318181818.0,14545454545.0,454545455.0,1363636364.0,14090909091.0,15227272727.0
 Venezuela (Bolivarian Republic of) ,1972,12061621,1330,930232558.0,2325581395.0,3720930233.0,9767441860.0,3488372093.0,8139534884.0,6511627907.0,6046511628.0,3023255814.0,3953488372.0,6279069767.0,4651162791.0,16511627907.0,697674419.0,1395348837.0,16046511628.0,16744186047.0
 Venezuela (Bolivarian Republic of) ,1973,12424804,1516,930232558.0,2790697674.0,5348837209.0,10697674419.0,3953488372.0,9069767442.0,7674418605.0,6744186047.0,3488372093.0,4883720930.0,8372093023.0,5348837209.0,19767441860.0,697674419.0,1627906977.0,18837209302.0,20000000000.0
 Venezuela (Bolivarian Republic of) ,1974,12796220,2308,1162790698.0,3255813953.0,12558139535.0,13720930233.0,5348837209.0,11395348837.0,8837209302.0,8604651163.0,5348837209.0,7906976744.0,15813953488.0,6744186047.0,29767441860.0,697674419.0,1860465116.0,29534883721.0,30465116279.0
 Venezuela (Bolivarian Republic of) ,1975,13176387,2418,1627906977.0,4418604651.0,10000000000.0,17209302326.0,6511627907.0,15348837209.0,12790697674.0,10697674419.0,7441860465.0,7441860465.0,14186046512.0,8604651163.0,32093023256.0,930232558.0,2558139535.0,31860465116.0,32093023256.0
 Venezuela (Bolivarian Republic of) ,1976,13566112,2691,1627906977.0,6046511628.0,10465116279.0,20697674419.0,8139534884.0,19767441860.0,17674418605.0,12558139535.0,9767441860.0,9069767442.0,15813953488.0,9767441860.0,37441860465.0,1162790698.0,3023255814.0,36511627907.0,36744186047.0
 Venezuela (Bolivarian Republic of) ,1977,13965250,2997,2093023256.0,8372093023.0,11162790698.0,24651162791.0,9534883721.0,27441860465.0,25116279070.0,15348837209.0,13953488372.0,9767441860.0,17209302326.0,11627906977.0,44186046512.0,1627906977.0,3488372093.0,41860465116.0,42325581395.0
 Venezuela (Bolivarian Republic of) ,1978,14372959,3155,2325581395.0,10465116279.0,10697674419.0,28372093023.0,10000000000.0,30697674419.0,29767441860.0,18372093023.0,16279069767.0,10465116279.0,17441860465.0,13023255814.0,48837209302.0,1860465116.0,3953488372.0,45348837209.0,46046511628.0
 Venezuela (Bolivarian Republic of) ,1979,14788523,3774,2558139535.0,10697674419.0,16279069767.0,33023255814.0,11627906977.0,27906976744.0,27209302326.0,21395348837.0,15116279070.0,13720930233.0,23953488372.0,14883720930.0,58604651163.0,2093023256.0,4418604651.0,55813953488.0,56511627907.0
