Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Viet Nam ,1970,41928849,65,1185790799.0,92511041.0,718293124.0,2684294432.0,186638573.0,401108697.0,346188463.0,2497655859.0,1011901542.0,443248274.0,559900037.0,793935716.0,3056296694.0,71186011.0,352973090.0,2726502357.0,2775103464.0
 Viet Nam ,1971,42916624,69,1292146071.0,100806765.0,782715136.0,2925038041.0,203375199.0,437082532.0,377235579.0,2721662841.0,1102658192.0,483007972.0,610117884.0,865143080.0,3330403888.0,77568839.0,384621249.0,2971031716.0,3023991667.0
 Viet Nam ,1972,43906019,72,1383122759.0,107908702.0,837822341.0,3131007277.0,217703211.0,467860882.0,403801676.0,2913304067.0,1180291352.0,517006876.0,653073062.0,926051976.0,3564915588.0,83033431.0,411725657.0,3180240168.0,3236929352.0
 Viet Nam ,1973,44891281,73,1431572616.0,111685308.0,867183390.0,3240681497.0,225321628.0,484247675.0,417944391.0,3015359868.0,1221648125.0,535121051.0,675954489.0,958504623.0,3689791895.0,85941948.0,426132911.0,3291636876.0,3350311755.0
 Viet Nam ,1974,45898698,77,1540317445.0,120161691.0,933034751.0,3486772716.0,242424088.0,521021424.0,449677164.0,3244348629.0,1314428229.0,575789910.0,727296583.0,1031296988.0,3969987150.0,92459854.0,458454588.0,3541600221.0,3604730807.0
 Viet Nam ,1975,46969616,82,1664906159.0,129908784.0,1008505413.0,3768976553.0,262087942.0,563194331.0,486089465.0,3506888611.0,1420744089.0,622306105.0,786117566.0,1114703382.0,4291291059.0,99961263.0,495693905.0,3828242970.0,3896483090.0
 Viet Nam ,1976,48163573,93,1940283000.0,151359091.0,1175389276.0,4392248463.0,305359019.0,656317074.0,566452354.0,4086889443.0,1655810331.0,725292055.0,916174600.0,1299165540.0,5000961036.0,116481127.0,577497677.0,4461302311.0,4540826993.0
 Viet Nam ,1977,49418150,108,2313282498.0,180427973.0,1401155416.0,5236165825.0,364017546.0,782433752.0,675267292.0,4872148279.0,1973953856.0,864824466.0,1092249116.0,1548746170.0,5961817403.0,138811390.0,688300256.0,5318513566.0,5413318416.0
 Viet Nam ,1978,50701458,127,2790598517.0,217883795.0,1690396163.0,6318177946.0,439571787.0,944137791.0,814950742.0,5878606159.0,2381342262.0,1042780914.0,1317602409.0,1868336284.0,7193721353.0,167662626.0,831637724.0,6417537186.0,6531932617.0
 Viet Nam ,1979,51831389,135,3051319180.0,237856473.0,1848795085.0,6906752554.0,479842112.0,1031992624.0,890638616.0,6426910442.0,2604302155.0,1140869771.0,1440943934.0,2043509178.0,7864055576.0,183114883.0,907311927.0,7015275620.0,7140326003.0
 Viet Nam ,1980,52968270,44,1023955890.0,79827356.0,619957434.0,2317152847.0,161071544.0,346266925.0,298795814.0,2156081303.0,873530422.0,382943603.0,483408049.0,685313545.0,2638250824.0,61361388.0,304384597.0,2353628632.0,2395583100.0
 Viet Nam ,1981,54280394,34,804558816.0,63014578.0,487471834.0,1822979484.0,127117497.0,272429002.0,235262526.0,1695861986.0,686642551.0,300221355.0,379862807.0,538683721.0,2075548939.0,48520102.0,240908915.0,1851643202.0,1884649559.0
 Viet Nam ,1982,55632153,39,936748505.0,72668309.0,568006930.0,2118774497.0,146576247.0,316493592.0,273008746.0,1972198251.0,799952531.0,350855207.0,442587784.0,627921143.0,2412626908.0,56020684.0,276680483.0,2151981244.0,2190341259.0
 Viet Nam ,1983,57011444,57,1406698223.0,109698520.0,849805398.0,3180797612.0,221471834.0,475502973.0,410140320.0,2959325778.0,1198331210.0,526464966.0,663518824.0,939649821.0,3621292463.0,83935368.0,417791707.0,3231145681.0,3288742278.0
 Viet Nam ,1984,58406863,85,2155692455.0,171191708.0,1308926281.0,4903052165.0,345098183.0,732797123.0,634291891.0,4557953982.0,1842002959.0,798975442.0,1018041185.0,1445003667.0,5581964909.0,132476306.0,659559588.0,4979879586.0,5068648136.0
