Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Yemen ,1989,12872362,254,792218747.0,79655963.0,485864180.0,3207182626.0,513198255.0,392885004.0,429288162.0,2693984372.0,698498766.0,253176843.0,549758049.0,788688170.0,3038092886.0,464922251.0,362849707.0,3275560485.0,3254706869.0
 Yemen ,1990,13375121,302,855829256.0,93840890.0,491093759.0,3836283266.0,649319513.0,426772495.0,445750728.0,3186963753.0,690413651.0,280251772.0,782058642.0,1077827864.0,3779491738.0,529565883.0,440369203.0,4045810428.0,4028673253.0
 Yemen ,1991,13895851,298,777219516.0,114532301.0,495413157.0,4562944273.0,742091601.0,546520197.0,583823363.0,3820852673.0,1281726428.0,349207290.0,746385460.0,1332612380.0,4065554354.0,583817513.0,510987184.0,4141892802.0,4177870152.0
 Yemen ,1992,14433771,306,880553269.0,139523960.0,472945516.0,4775137969.0,822081960.0,698608849.0,794273048.0,3953056009.0,1341854941.0,426706009.0,744831897.0,1388558971.0,4360262711.0,657619956.0,549174658.0,4419226649.0,4482428014.0
 Yemen ,1993,14988047,316,869444603.0,140251812.0,582816338.0,5544285576.0,863159669.0,672526635.0,743855845.0,4681125907.0,1781667436.0,493995951.0,765194330.0,1512485459.0,4698791615.0,755830165.0,655585246.0,4739523832.0,4775361094.0
 Yemen ,1994,15553171,318,958526720.0,159208308.0,621064672.0,5235032800.0,886977368.0,728451644.0,845079283.0,4348055432.0,1464338599.0,587551139.0,882087665.0,1569332170.0,4996038838.0,686122354.0,740761622.0,4950618420.0,4982868429.0
 Yemen ,1995,16103339,356,1017401823.0,212149511.0,1128404411.0,6217273492.0,806487654.0,902026692.0,1089865214.0,5410785838.0,2178894919.0,655841420.0,1396337742.0,1665615467.0,5880722568.0,667747617.0,921470409.0,5732846101.0,5934614983.0
 Yemen ,1996,16614326,404,1038454609.0,292361409.0,2460218271.0,6713567968.0,969018110.0,1167422006.0,1383989325.0,5744549859.0,3030573824.0,555966553.0,2268737261.0,1711162197.0,7022641846.0,750234367.0,961692003.0,6711966019.0,7283679449.0
 Yemen ,1997,17108681,424,1075876306.0,371190275.0,2481589821.0,7022277768.0,1148926739.0,1335979494.0,1480359930.0,5873351028.0,3083875542.0,517982902.0,2481854188.0,1714886333.0,7503398483.0,864624062.0,994967319.0,7254295429.0,7796848613.0
 Yemen ,1998,17608133,397,1199173396.0,387884938.0,1678114536.0,7119113787.0,1113854195.0,1474260273.0,1455503529.0,6005259592.0,2981653154.0,521884197.0,1626998907.0,1876396248.0,7111630131.0,913356971.0,1107819672.0,6990227437.0,7250960868.0
