Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Yemen Arab Republic (Former) ,1970,5225654,67,220859280.0,17544075.0,5480918.0,422521942.0,16134577.0,50864823.0,43910801.0,406387365.0,80552869.0,18538357.0,20482496.0,48858507.0,392785181.0,31072260.0,53968563.0,351982432.0,398314813.0
 Yemen Arab Republic (Former) ,1971,5357900,80,241073323.0,23486366.0,7925688.0,500426822.0,23771169.0,64545639.0,54185351.0,476655652.0,101410655.0,24017194.0,26345282.0,61805788.0,461954198.0,45043682.0,64199757.0,426828037.0,471487495.0
 Yemen Arab Republic (Former) ,1972,5500297,114,342676070.0,33196284.0,13548059.0,747090443.0,37447582.0,89268631.0,77548982.0,709642861.0,162926017.0,37542326.0,40500774.0,94813043.0,671599835.0,60687507.0,99726157.0,629506197.0,686981115.0
 Yemen Arab Republic (Former) ,1973,5653620,100,289072750.0,30583210.0,20350807.0,666611721.0,31205289.0,98193482.0,76494303.0,635406431.0,161003878.0,40413849.0,43684711.0,83428862.0,608661681.0,61646056.0,100246093.0,567000116.0,624152132.0
 Yemen Arab Republic (Former) ,1974,5817474,122,362327692.0,24838938.0,23579910.0,833769827.0,42124807.0,99415725.0,79169647.0,791645019.0,198487610.0,43825034.0,46969573.0,93134484.0,724912080.0,72840214.0,124801179.0,708289284.0,758277851.0
 Yemen Arab Republic (Former) ,1975,5997088,145,415978627.0,37329927.0,28916153.0,1040125911.0,51126608.0,130394048.0,107829154.0,988999303.0,274844683.0,50649051.0,54506602.0,115373871.0,867028917.0,76337702.0,167502189.0,870998099.0,924591428.0
 Yemen Arab Republic (Former) ,1976,6191938,154,402421898.0,55378102.0,30419209.0,1257866797.0,51449317.0,141454771.0,158381950.0,1206417481.0,416681851.0,51027372.0,55499237.0,122042742.0,892146697.0,88508554.0,168296164.0,952973271.0,1013058926.0
 Yemen Arab Republic (Former) ,1977,6402560,172,381441700.0,101174042.0,24649776.0,1285936159.0,71003838.0,350583243.0,303598673.0,1214932321.0,497754624.0,60335659.0,67439305.0,155826155.0,1007461142.0,115254113.0,186325827.0,1101634659.0,1163414553.0
 Yemen Arab Republic (Former) ,1978,6627327,185,430066798.0,120236413.0,42260768.0,1519487837.0,89926654.0,381817318.0,382897413.0,1429561183.0,658344478.0,71228489.0,80227036.0,185049008.0,1138811150.0,125604232.0,197627662.0,1226542857.0,1285221445.0
 Yemen Arab Republic (Former) ,1979,6866006,199,468549645.0,111674825.0,68543711.0,1700574834.0,106108084.0,435751376.0,408515538.0,1594466750.0,787640412.0,88224521.0,99541091.0,221895435.0,1249112146.0,141232006.0,206219144.0,1368087691.0,1417229509.0
