Country,Year,Population,Per capita GNI,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Gross National Income(GNI) in USD,Gross Domestic Product (GDP)
 Yugoslavia (Former) ,1970,20668307,720,2368959998.0,1559199998.0,2547279997.0,10085919990.0,2438719998.0,5228879995.0,4137839996.0,7647199992.0,3239199997.0,3887199996.0,4568319995.0,2487919998.0,13365039987.0,991279999.0,1389359999.0,14883199985.0,14553599985.0
 Yugoslavia (Former) ,1971,20848333,797,2552145064.0,1571511611.0,3038936264.0,10637418522.0,2463570420.0,5817722285.0,4341500605.0,8173848103.0,4268236817.0,4163612636.0,4872747010.0,2476933842.0,14487830143.0,1186927089.0,1827565528.0,16623694527.0,15801743321.0
 Yugoslavia (Former) ,1972,21037682,830,2581764706.0,1651941176.0,3239000000.0,11587058824.0,2664117647.0,5257470588.0,4351588235.0,8922941176.0,3788823529.0,4410588235.0,5173058824.0,2703176471.0,15268764706.0,1264235294.0,1894588235.0,17454117647.0,16484705882.0
 Yugoslavia (Former) ,1973,21235814,1082,3711257055.0,2002011288.0,4384586968.0,14770159056.0,3247326834.0,7068055413.0,5264361211.0,11522832222.0,5373832735.0,5826803489.0,6806998461.0,3586023602.0,20150148795.0,1621570036.0,2422288353.0,22970549000.0,21471934326.0
 Yugoslavia (Former) ,1974,21435925,1469,4504760409.0,2529269442.0,5852380205.0,20009426553.0,4669285153.0,11415490967.0,7377030637.0,15340141399.0,8908719561.0,8316166536.0,9738884525.0,4619198743.0,26800062845.0,2165844462.0,3242105263.0,31499135901.0,29706205815.0
 Yugoslavia (Former) ,1975,21638578,1615,4817296882.0,3105943401.0,5907404027.0,22647383848.0,5644549080.0,12543698650.0,9414519772.0,17002834767.0,8584442416.0,9240859079.0,10823523760.0,5639532984.0,30534415991.0,2543275837.0,3604843127.0,34944313651.0,33279200501.0
 Yugoslavia (Former) ,1976,21843194,1804,5361713833.0,3487757357.0,6480124329.0,25867024863.0,6530020951.0,12915633267.0,11403221001.0,19337003912.0,8158950356.0,9922056013.0,11674819261.0,6598236840.0,34163782316.0,2801307471.0,4239947555.0,39395775935.0,37562748992.0
 Yugoslavia (Former) ,1977,22047633,2162,6120483904.0,4307894197.0,6991019069.0,31519376667.0,8065067323.0,17834898504.0,14651411387.0,23454309344.0,10406397376.0,12105529356.0,14179044495.0,8672763311.0,41306212837.0,3220121660.0,4805905270.0,47663727703.0,45672886339.0
 Yugoslavia (Former) ,1978,22249491,2570,6043541442.0,5366838215.0,7883656981.0,37859324210.0,9507755456.0,22065558085.0,19171863054.0,28351568754.0,11960885137.0,14590863362.0,16963885375.0,10846996857.0,49145598685.0,3955644783.0,5968692013.0,57185500496.0,54338002855.0
 Yugoslavia (Former) ,1979,22448416,3176,7739456601.0,6769876756.0,10579941848.0,47415911948.0,11990618330.0,28383295708.0,23590210737.0,35425293618.0,17350292958.0,18127337732.0,21070863238.0,13050641696.0,61406934357.0,5113168598.0,7662927468.0,71302804841.0,68198420579.0
 Yugoslavia (Former) ,1980,22644286,3252,8158896048.0,6809192837.0,13069372432.0,47571690936.0,11809324743.0,29677276649.0,22146618640.0,35762366193.0,19301709706.0,19526680535.0,22918654559.0,12796996601.0,63771904016.0,5164182436.0,7923981533.0,73641722899.0,69958906197.0
 Yugoslavia (Former) ,1981,22827740,3149,8699547423.0,6463887969.0,12768394436.0,45966677551.0,10891879590.0,28103137059.0,19589110504.0,35074797962.0,16297351983.0,20001248818.0,23340395666.0,11573991235.0,62687064018.0,5047700532.0,7561541193.0,71873821788.0,68930426101.0
 Yugoslavia (Former) ,1982,22993714,2840,8660866452.0,5401990019.0,11933268248.0,42234535754.0,9936765615.0,24413637411.0,17002494568.0,32297770139.0,14798138937.0,18256454797.0,21366492572.0,10556406232.0,57645254273.0,4526421696.0,7133077302.0,65299256935.0,62827496931.0
 Yugoslavia (Former) ,1983,23147459,2857,9320620361.0,4842767124.0,12795554116.0,43376774841.0,9663950249.0,24958213057.0,15474495217.0,33712824592.0,14283016352.0,19005252771.0,21940090525.0,10044526064.0,58372168395.0,4658085646.0,7566078676.0,66122943580.0,64374278875.0
 Yugoslavia (Former) ,1984,23297713,3062,9296719692.0,4636687719.0,17676985451.0,44828335183.0,9665143905.0,27918960699.0,15131227051.0,35163191278.0,19335682927.0,21422763038.0,24998791581.0,10980618588.0,62812333894.0,4867017697.0,8032498617.0,71342428266.0,69031139560.0
 Yugoslavia (Former) ,1985,23444776,3205,8441698470.0,5030324859.0,16185996042.0,46742141301.0,10223424257.0,28853143337.0,16009886068.0,36518717044.0,17022470858.0,25316779941.0,28995340926.0,12023161779.0,67964807733.0,5462716975.0,8011564725.0,75129434204.0,73343664215.0
 Yugoslavia (Former) ,1986,23581225,3429,9840072323.0,5392859256.0,12771202831.0,51354675893.0,11363102771.0,30533719640.0,17130435312.0,39991573122.0,13338659108.0,25866906409.0,29527219166.0,13984887554.0,73493813577.0,5888976621.0,8859798691.0,80849884530.0,79423174172.0
 Yugoslavia (Former) ,1987,23704100,3701,9176312782.0,5601472216.0,19952215226.0,54868672687.0,12146863915.0,31589634065.0,16019486682.0,42721808771.0,21065141862.0,29398196207.0,33604955484.0,15375449868.0,78713061219.0,8902605215.0,6052265670.0,87740563705.0,84567721029.0
 Yugoslavia (Former) ,1988,23811769,3864,9100830274.0,5044745613.0,25827555987.0,56352677300.0,12469697302.0,32519608415.0,15057104115.0,43882979998.0,26612172376.0,32642201265.0,36621485442.0,15117182364.0,81092014082.0,9012401736.0,6195368654.0,92011249571.0,87669004178.0
 Yugoslavia (Former) ,1989,23901772,4217,10195259964.0,5770885993.0,23866759402.0,58324191963.0,13621827425.0,40054346387.0,13696455617.0,44702364537.0,27501949301.0,37232976279.0,40937706990.0,17706829408.0,90003957831.0,9424462551.0,5968812925.0,101000000000.0,94294698095.0
 Yugoslavia (Former) ,1990,23972172,3998,9539751817.0,5831414382.0,20866234068.0,73798296025.0,15514722178.0,19444423085.0,12999535400.0,58283573847.0,25948607301.0,23131023579.0,26302159025.0,17117341493.0,74229732052.0,9121526934.0,6317538401.0,95843547898.0,88160345877.0
