,因子名称,Factor1,Factor2
Exports of goods and services,Factor1,0.9555628632042393,
Imports of goods and services,Factor1,0.946490796073641,
"Agriculture, hunting, forestry, fishing (ISIC A-B)",Factor1,0.9293403294123976,
"Mining, Manufacturing, Utilities (ISIC C-E)",Factor1,0.9244220180017235,
Per capita GNI,Factor1,0.9030508148851052,
Gross capital formation,Factor1,0.8974208848701211,
Gross National Income(GNI) in USD,Factor1,0.8960432350165671,
Gross fixed capital formation (including Acquisitions less disposals of valuables),Factor1,0.894230644172596,
Total Value Added,Factor1,0.8938981118103106,
"Transport, storage and communication (ISIC I)",Factor1,0.8862294955679915,
"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Factor1,0.8850518069206671,
Household consumption expenditure (including Non-profit institutions serving households),Factor1,0.884868000313227,
Final consumption expenditure,Factor1,0.8841630682336661,
General government final consumption expenditure,Factor1,0.8823358824183468,
Construction (ISIC F),Factor1,0.8787974644233724,
Other Activities (ISIC J-P),Factor1,0.8515719842725518,
Population,Factor1,0.8335976528879667,
Manufacturing (ISIC D),Factor1,0.19640322477432226,
Manufacturing (ISIC D),Factor2,,0.8838879234579052
Other Activities (ISIC J-P),Factor2,,0.5192085654378962
Construction (ISIC F),Factor2,,0.47674262117566435
General government final consumption expenditure,Factor2,,0.46878292609361505
Final consumption expenditure,Factor2,,0.46538298763161434
"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Factor2,,0.4645000154370425
Household consumption expenditure (including Non-profit institutions serving households),Factor2,,0.463660326368796
"Transport, storage and communication (ISIC I)",Factor2,,0.45466268712371094
Total Value Added,Factor2,,0.4479694275869755
Gross fixed capital formation (including Acquisitions less disposals of valuables),Factor2,,0.4461333958725487
Gross National Income(GNI) in USD,Factor2,,0.4434971757373142
Gross capital formation,Factor2,,0.43940459367532037
Per capita GNI,Factor2,,0.42915492929202625
"Mining, Manufacturing, Utilities (ISIC C-E)",Factor2,,0.3771470478933408
"Agriculture, hunting, forestry, fishing (ISIC A-B)",Factor2,,0.36350304568492703
Imports of goods and services,Factor2,,0.30907859407086796
Exports of goods and services,Factor2,,0.28000852352198047
Population,Factor2,,-0.02852299971859358
