,因子名称,Factor1,Factor2
Other Activities (ISIC J-P),Factor1,1.04687923793378,
Household consumption expenditure (including Non-profit institutions serving households),Factor1,1.0276126927996483,
Final consumption expenditure,Factor1,1.0166374318524893,
"Transport, storage and communication (ISIC I)",Factor1,1.0057265288357824,
"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Factor1,0.994496965922347,
Gross National Income(GNI) in USD,Factor1,0.9419773637657838,
General government final consumption expenditure,Factor1,0.9414068286775675,
Total Value Added,Factor1,0.9367889751833723,
Imports of goods and services,Factor1,0.8329246052614432,
Construction (ISIC F),Factor1,0.7692329983920698,
Exports of goods and services,Factor1,0.7073346014525497,
Gross fixed capital formation (including Acquisitions less disposals of valuables),Factor1,0.6854312865234288,
Gross capital formation,Factor1,0.6729369004177924,
"Mining, Manufacturing, Utilities (ISIC C-E)",Factor1,0.6621219343645449,
Manufacturing (ISIC D),Factor1,0.4292609963052022,
Per capita GNI,Factor1,0.37133643244335135,
Population,Factor1,-0.24739367480986588,
"Agriculture, hunting, forestry, fishing (ISIC A-B)",Factor1,-0.18286173592085883,
"Agriculture, hunting, forestry, fishing (ISIC A-B)",Factor2,,1.1114241418469724
Population,Factor2,,1.0359727594989612
Manufacturing (ISIC D),Factor2,,0.6370292151738574
"Mining, Manufacturing, Utilities (ISIC C-E)",Factor2,,0.43043274934743375
Gross capital formation,Factor2,,0.42584155979386645
Gross fixed capital formation (including Acquisitions less disposals of valuables),Factor2,,0.4117511946748087
Construction (ISIC F),Factor2,,0.31309718477819076
Exports of goods and services,Factor2,,0.2762169020320698
Per capita GNI,Factor2,,-0.17682663509482885
Imports of goods and services,Factor2,,0.17435958424989864
Other Activities (ISIC J-P),Factor2,,-0.09627643172814272
Total Value Added,Factor2,,0.09316836585159148
Gross National Income(GNI) in USD,Factor2,,0.08736065701979476
General government final consumption expenditure,Factor2,,0.08399072391534897
Household consumption expenditure (including Non-profit institutions serving households),Factor2,,-0.06659843457339151
Final consumption expenditure,Factor2,,-0.03804828061267262
"Transport, storage and communication (ISIC I)",Factor2,,-0.017847592725322665
"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Factor2,,-0.004943386250854571
